Time,Treatment,Baetis rhodani ,Ephemerellaignita ,Baetis sp.,Leptophlebiidae ,Leuctra sp.,Leuctra fusca ,Hydropsychepellucidula  ,Polycentropus flavomaculatus,Rhyacophila nubila,Chironomidae ,Radix balthica ,Simuliidae,Gyraulus acronicus ,Oligochaeta
july_2015_preflood,NP,6,10,,,,,1,,,106,,,,
july_2015_preflood,C,22,68,1,,,1,,,,101,15,9,1,
july_2015_preflood,F,37,42,1,,,,,,,255,2,22,1,
july_2015_preflood,NPF,11,16,,,,3,,,,89,,1,,
july_2015_postflood,NP,,1,3,,,,,,,36,,,,
july_2015_postflood,C,3,,,,,,,,,29,,,,
july_2015_postflood,F,,1,1,,,,,,,13,1,,,1
july_2015_postflood,NPF,,,2,,,,,,,25,2,,,
september_2015_preflood,C,13,,,,,,,,,,25,,2,
september_2015_preflood,NP,48,1,,,,,,,,,24,,,
september_2015_preflood,F,32,,,,,,,,,,7,,,
september_2015_preflood,NPF,33,,,,,,,,,,5,,,
september_2015_postflood,C,,,,,7,,,,,2,,,,
september_2015_postflood,NP,5,,2,,,,1,,,2,1,,,
september_2015_postflood,F,8,,,1,,,,1,,1,8,,,
september_2015_postflood,NPF,11,,,,1,,,,1,6,7,,2,
