Pool,Treatment,Time,Perimeter (m),Volume (L),Max depth (cm),Surface area (sq),INITITIAL SURVEY,Bare,Shell hash,Dead mussels,Dead Semibalanus,Nucella eggs,(Under Pisaster),Anthopleura art.,Anthopleura xanth,Metridium (brwn),Balanus,Semibalanus,Chthamalus,Mytilus trossulus,Mytilus californ.,Red sponge,Spirorbids,Acrosiphonia,Calliartharon,Cladophora,Codium,Corallina vanc.,Crustose coralline,Cryptosiphonia,Culpamanea,Endocladia,Farlowia,Fucus,Halosaccion,Hildenbrandia,Leathesia,Mastocarpus,Mazzaella,Neorhodomela,Odonthalia,Palmaria,Petalonia?,Petrocelis,Polysiphonia,Prionitis,Ralfsia,Scytosiphon,Soranthera,Ulva (blades),Hemigrapsus nud.,Idotea,Leptasterias,Littorina - rough,Littorina - smooth,Lottia spp.,Nucella,Pagarus,Pisaster,Prickleback,Sculpin,Katharina,Mopalia,Strongylocentrotus,Tonicella,Searlesia,Amphipod
1,CO2,beginning,1.75,5.5,9,18,10-Jul,3,,,,,,0.5,,,0.1,0.2,,,,,,,,0.5,,,,1,,,,0.5,,,0.1,,0.3,7,16,,,,0.1,,,,0.1,,,1,,7,12,,,5,,,,,,,,,
2,Control,beginning,1.8,6.25,9.5,19,10-Jul,0,,,,,,0.2,,1,0.2,6,,,,,,,,1.5,,,,,0.1,,,,,,0.75,,,0.5,7,,,,,,,,,,,,,3,15,,2,15,,,,,,,,,
3,Temp,beginning,1.8,4.5,10,16,10-Jul,6,,,,,,1,,,0.1,1,,0.1,,,,,,0.3,,,,,,,,,,,2,,,,4,,,,0.5,,,,,,,,,4,13,28,1,6,,,,,,,,,
4,CO2,beginning,1.95,3,7,13,10-Jul,2.5,,1,,,,0.5,,,0.1,0.75,,0.1,,,,,,1,,,,,0.1,,,0.3,,,,,,,6,,,,2,,,,0.1,,,,,,6,14,9,1,,,,,,,,,
5,Temp,beginning,2.45,14,15,29,10-Jul,4,,,,,,0.2,,0.5,0.1,6,,,,,,,,2,,,,,,,,,,,,,,6,15,,,0.2,,1,,,,,,,,36,62,,2,1,,,,,,,,,
6,Control,beginning,2.45,25,25,35,10-Jul,2,,,,,,,1,0.1,0.1,0.2,,,,,,,,1,,,4,,,,,,,,0.2,,,12,18,0.5,,1,,,,,,,,,,80,14,36,11,29,,,,,,,,,
7,Both,beginning,3,22,16,33,12-Jul,5,,,,,,,,,0.1,5,,,1,,,,,,,,0.5,,,,,,,,,,,1,24,,,,,,,,,,1,3,,105,14,16,7,4,,,,,,,,,
11,CO2,beginning,4.3,20,11,47,12-Jul,18,,,,,,0.25,,,0.2,2,,3,,,,,,0.2,,,,,,,,,,1,0.1,,0.5,,5,,,,5,,,,0.1,,,,,16,26,15,32,4,,,2,,,,,,
12,Both,beginning,2.26,6,13.5,22,12-Jul,4,,,1,,,0.5,,0.5,0.5,0.25,,,,,,,,1,,,,,,,,,,,,0.25,,,5,,,,3,,,,0.25,,,,,1,23,19,3,5,,,1,,,,,,
13,CO2,beginning,1.6,4.25,10,9,12-Jul,3,1,,,,,0.5,,,,3,,1,,,,0.1,,0.2,,,,,,,,,,,,,,0.25,4,,,,1,,,,0.2,0.1,,,,1,13,13,,8,,,,,,,,,
14.5,Temp,beginning,3.5,14,12,21,12-Jul,7,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,0.1,,1,,,1,33,1,1,,1,,1,,,,,,
16,Both,beginning,4,19.25,11,36,12-Jul,2,,,,,,1,,,,5,,14,,,,,,,,,,,,,,,,,,,,,34,,,,,1,1,,,,1,,,24,16,,1,,,,,,,,,,
17,Temp,beginning,4.95,27,16.5,56,12-Jul,3,1,,,,,0.5,,,,3,,5,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,1,,64,15,,,4,,,,,,,,,1
17.5,Control,beginning,2.17,4.5,6,30,12-Jul,5,1.5,,,,,,,,0.1,1,,3,,,,,,,,,,,,,,1.5,,1,,,,,20,,,,,,1,,,,,,,37,30,5,1,,,,2,,,,,,
18,Both,beginning,2.9,14.5,18,37.5,12-Jul,1,,,,,,,,,,1,,10,,,,,,1,,,,,,,,,,,,,,1,26,,,1,,0.5,,,,,,,,18,65,,,4,,,2,,,,,,
19,Control,beginning,2.55,8.5,13,14,11-Jul,8,1,,,,3,0.25,1,,,1,0.1,,,,,,,0.1,,,,,,,,,,,,,,,3,,,,1,,0.1,,1,0.1,,,1,,2,7,1,4,4,,2,,,,,,
23,CO2,beginning,1.95,7.5,10,19,11-Jul,0,0.5,,,,1,,,3,0.2,0.1,,,,,,0.1,,1,,,0.1,0.3,,,,,0.1,3,,,,,2,,,0.5,,,,0.1,2,0.3,,,,,2,15,1,10,1,,3,,,,,2,
24,Temp,beginning,1.95,10.5,17,23,11-Jul,0,1,,,,3,,5,1,,,,,,,,,0.1,,,1,0.5,4,,,0.5,,,1,,0.5,,,12,,,2,,0.5,1,,0.1,,,2,1,,6,,,,4,,2,,,,,,
26,Control,beginning,2.09,4,6.5,16,11-Jul,0,1,,,,1.5,0.1,5,0.1,,1,,0.1,,,,,,0.2,,,,,,,,0.5,,,,,,,5,,,,5,,,,,0.1,,,,,11,,,10,2,,3,,,,,,
27,Both,beginning,2.45,6,10,16,11-Jul,5,1,,,,,2,,0.1,,3,,8,,,,,,,,,,,,,,,,,,,0.5,,2,2,,,3,,1,,,0.5,2,,,,17,17,,3,,1,3,,,,,,
1,CO2,end,1.75,5.5,9,21,02-Aug,5,4,,,,1,,,,0.1,,,,,,,,,0.1,,,,,,,,0.1,,,,,0.2,,11,,,,3,,,,,,,,,4,14,30,4,3,1,,4,,,,,,
2,Control,end,1.8,6.25,9.5,20,02-Aug,2,7,,,,,0.3,,4,0.1,4,,,,,,,,1,,,,,,,,,,1.5,1,,,,5,,,,,,,,,,,2,,4,4,19,2,26,,,1,,,,,,
3,Temp,end,1.8,4.5,10,17,02-Aug,5,5,,,,,0.5,,,0.1,1,,,,,,,,0.2,,,,,,,,,,,1,,,0.3,5,,,,,,,,,0.1,,,,1,11,30,,8,,,3,,,,1,,
4,CO2,end,1.95,3,7,11,02-Aug,2,2,,,,,0.5,,,,1,,,,,,,,1,,,,,,,,,,,0.1,,,,4,,,,1.5,,,,,,,,,4,27,4,5,,,,,,,,,,
5,Temp,end,2.45,14,15,39,02-Aug,5,4,,0.5,,1,0.1,,0.3,,6,,,,,,,,0.5,,,,,,,,,,,0.1,,,5,17,,,,,2,,,,,,,,21,24,,9,8,1,,,,,,,,
6,Control,end,2.45,25,25,46,03-Aug,2,3,,0.5,0.1,,,,0.3,,0.3,,0.1,,,,,,0.5,,0.1,4,,,,,,,,0.1,,,10,25,1,,,,,3,,0.1,,,,,29,11,36,6,20,,,2,,1,1,,3,
