Tank,Table,Bucket,Pos,Wave,Temp,Graz,Dic_bm_wet.pre,Fuc_bm_wet.pre,Ulv_bm_wet.pre,Tot_bm_wet.pre,Dic_bm_wet.post,Fuc_bm_wet.post,Ulv_bm_wet.post,Detr_bm_wet.post,Tot_bm_wet.post,Tot_bm_wet.det.post,Obs,Dic_bm_dry.post,Fuc_bm_dry.post,Ulv_bm_dry.post,Detr_bm_dry.post,Tot_bm_dry.post,Tot_bm_dry.det.post
1,1,1,1,W+,T0,G,25.0,90.0,7.0,122.0,34.1,98.0,8.8,17.9,140.9,158.8,E,4.19 ,21.09 ,1.57 ,2.59 ,26.85 ,29.44 
2,1,1,2,W+,T+,PLG,25.0,90.0,7.0,122.0,26.6,105.3,6.8,12.2,138.7,150.9,E,2.86 ,23.00 ,1.23 ,1.60 ,27.09 ,28.69 
3,1,1,3,W+,T+,G,25.0,90.0,7.0,122.0,25.7,105.6,7.0,0.0,138.3,138.3,R,2.94 ,23.15 ,1.24 ,0.00 ,27.33 ,27.33 
4,1,2,4,W+,T+,PLG,25.0,90.0,7.0,122.0,20.1,100.8,4.6,9.5,125.5,135.0,R,2.57 ,21.06 ,1.03 ,1.04 ,24.66 ,25.70 
5,1,2,5,W+,T0,P,25.0,90.0,7.0,122.0,26.7,107.4,7.8,8.5,141.9,150.4,D,3.68 ,21.34 ,1.53 ,0.97 ,26.55 ,27.52 
6,1,3,6,W0,T0,P,25.0,90.0,7.0,122.0,21.9,110.5,7.2,6.6,139.6,146.2,R,2.67 ,21.12 ,1.46 ,1.05 ,25.25 ,26.30 
7,1,3,7,W0,T0,G,25.0,90.0,7.0,122.0,20.1,101.3,8.4,4.4,129.8,134.2,D,2.32 ,21.20 ,1.49 ,0.48 ,25.01 ,25.49 
8,1,3,8,W0,T+,L,25.0,90.0,7.0,122.0,24.0,105.8,8.0,15.9,137.8,153.7,E,2.79 ,21.38 ,1.05 ,1.77 ,25.22 ,26.99 
9,1,4,9,W+,T+,P,25.0,90.0,7.0,122.0,26.1,103.0,14.8,3.1,143.9,147.0,E,2.85 ,21.87 ,1.65 ,0.29 ,26.37 ,26.66 
10,1,4,10,W+,T+,G,25.0,90.0,7.0,122.0,33.1,103.4,7.2,4.3,143.7,148.0,D,3.78 ,22.39 ,1.32 ,0.40 ,27.49 ,27.89 
