Date,Tank,Wave,Temp,Graz,Date_time,Conc_cyano_ug.cm,Conc_green_ug.cm,Conc_diatm_ug.cm,Conc_total_ug.cm,Cell_cyano_mm,Cell_green_mm,Cell_diatm_mm,Cell_total_mm,Rflct
2013-02-01,1,W+,T0,G,01/02/2013 10:10,0,0,0.28,0.28,0,0,1260,1260,1
2013-02-01,1,W+,T0,G,01/02/2013 10:10,0,0,0.2,0.2,0,0,900,900,1
2013-02-01,1,W+,T0,G,01/02/2013 10:11,0,0.03,0.16,0.19,0,159,720,879,1
2013-02-01,2,W+,T+,PLG,01/02/2013 10:11,0,0,0.21,0.21,0,0,945,945,0
2013-02-01,2,W+,T+,PLG,01/02/2013 10:11,0.01,0,0.47,0.48,100,0,2115,2215,0
2013-02-01,2,W+,T+,PLG,01/02/2013 10:12,0,0.02,0.11,0.13,0,106,495,601,0
2013-02-01,3,W+,T+,G,01/02/2013 10:12,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,3,W+,T+,G,01/02/2013 10:13,0,0,0.21,0.21,0,0,945,945,1
2013-02-01,3,W+,T+,G,01/02/2013 10:13,0,0,0.18,0.18,0,0,810,810,1
2013-02-01,4,W+,T+,PLG,01/02/2013 10:14,0,0.02,0.02,0.04,0,106,90,196,0
2013-02-01,4,W+,T+,PLG,01/02/2013 10:14,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,4,W+,T+,PLG,01/02/2013 10:15,0,0.01,0.03,0.04,0,53,135,188,0
2013-02-01,5,W+,T0,P,01/02/2013 10:15,0,0,0.16,0.16,0,0,720,720,0
2013-02-01,5,W+,T0,P,01/02/2013 10:16,0,0,0.15,0.15,0,0,675,675,0
2013-02-01,5,W+,T0,P,01/02/2013 10:16,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,6,W0,T0,P,01/02/2013 10:17,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,6,W0,T0,P,01/02/2013 10:17,0,0.01,0.02,0.03,0,53,90,143,0
2013-02-01,6,W0,T0,P,01/02/2013 10:18,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,7,W0,T0,G,01/02/2013 10:18,0,0.02,0.07,0.09,0,106,315,421,0
2013-02-01,7,W0,T0,G,01/02/2013 10:19,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,7,W0,T0,G,01/02/2013 10:19,0,0.01,0.03,0.04,0,53,135,188,0
2013-02-01,8,W0,T+,L,01/02/2013 10:20,0,0,0.07,0.07,0,0,315,315,0
2013-02-01,8,W0,T+,L,01/02/2013 10:20,0,0,0.04,0.04,0,0,180,180,0
2013-02-01,8,W0,T+,L,01/02/2013 10:20,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,9,W+,T+,P,01/02/2013 10:21,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,9,W+,T+,P,01/02/2013 10:21,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,9,W+,T+,P,01/02/2013 10:22,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,10,W+,T+,G,01/02/2013 10:22,0.01,0,0.39,0.4,100,0,1755,1855,0
2013-02-01,10,W+,T+,G,01/02/2013 10:23,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,10,W+,T+,G,01/02/2013 10:23,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,11,W+,T+,L,01/02/2013 10:28,0.01,0,0.6,0.61,100,0,2700,2800,0
2013-02-01,11,W+,T+,L,01/02/2013 10:28,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,11,W+,T+,L,01/02/2013 10:29,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,12,W+,T+,n/a,01/02/2013 10:29,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,12,W+,T+,n/a,01/02/2013 10:30,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,12,W+,T+,n/a,01/02/2013 10:30,0,0,0.05,0.05,0,0,225,225,0
2013-02-01,13,W+,T+,n/a,01/02/2013 10:31,0.01,0,0.89,0.9,100,0,4005,4105,1
2013-02-01,13,W+,T+,n/a,01/02/2013 10:31,0,0,0.54,0.54,0,0,2430,2430,0
2013-02-01,13,W+,T+,n/a,01/02/2013 10:31,0,0,0.42,0.42,0,0,1890,1890,0
2013-02-01,14,W+,T0,PLG,01/02/2013 10:32,0,0,0.22,0.22,0,0,990,990,1
2013-02-01,14,W+,T0,PLG,01/02/2013 10:32,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,14,W+,T0,PLG,01/02/2013 10:33,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,15,W+,T0,n/a,01/02/2013 10:34,0,0.08,0.37,0.45,0,424,1665,2089,0
2013-02-01,15,W+,T0,n/a,01/02/2013 10:34,0,0.06,0.18,0.24,0,318,810,1128,0
2013-02-01,15,W+,T0,n/a,01/02/2013 10:34,0,0.05,0.25,0.3,0,265,1125,1390,0
2013-02-01,16,W+,T0,P,01/02/2013 10:35,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,16,W+,T0,P,01/02/2013 10:35,0,0,0.18,0.18,0,0,810,810,0
2013-02-01,16,W+,T0,P,01/02/2013 10:36,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,17,W+,T+,PLG,01/02/2013 10:36,0,0,0.15,0.15,0,0,675,675,0
2013-02-01,17,W+,T+,PLG,01/02/2013 10:37,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,17,W+,T+,PLG,01/02/2013 10:37,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,18,W+,T0,n/a,01/02/2013 10:40,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,18,W+,T0,n/a,01/02/2013 10:40,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,18,W+,T0,n/a,01/02/2013 10:40,0,0.01,0.05,0.06,0,53,225,278,0
2013-02-01,19,W0,T0,P,01/02/2013 10:41,0,0,0.1,0.1,0,0,450,450,0
2013-02-01,19,W0,T0,P,01/02/2013 10:41,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,19,W0,T0,P,01/02/2013 10:42,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,20,W0,T+,P,01/02/2013 10:42,0,0.01,0.05,0.06,0,53,225,278,0
2013-02-01,20,W0,T+,P,01/02/2013 10:43,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,20,W0,T+,P,01/02/2013 10:43,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,21,W+,T+,P,01/02/2013 10:48,0,0,0.18,0.18,0,0,810,810,0
2013-02-01,21,W+,T+,P,01/02/2013 10:48,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,21,W+,T+,P,01/02/2013 10:49,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,22,W+,T+,P,01/02/2013 10:49,0,0,0.07,0.07,0,0,315,315,0
2013-02-01,22,W+,T+,P,01/02/2013 10:50,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,22,W+,T+,P,01/02/2013 10:50,0,0.01,0.03,0.04,0,53,135,188,0
2013-02-01,23,W+,T0,G,01/02/2013 10:51,0,0,0.15,0.15,0,0,675,675,0
2013-02-01,23,W+,T0,G,01/02/2013 10:51,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,23,W+,T0,G,01/02/2013 10:51,0,0.01,0.08,0.09,0,53,360,413,0
2013-02-01,24,W0,T0,L,01/02/2013 10:52,0,0,0.29,0.29,0,0,1305,1305,0
2013-02-01,24,W0,T0,L,01/02/2013 10:52,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,24,W0,T0,L,01/02/2013 10:53,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,25,W0,T0,P,01/02/2013 10:53,0,0.01,0.1,0.11,0,53,450,503,2
2013-02-01,25,W0,T0,P,01/02/2013 10:54,0,0,0.11,0.11,0,0,495,495,1
2013-02-01,25,W0,T0,P,01/02/2013 10:54,0,0.02,0.06,0.08,0,106,270,376,0
2013-02-01,26,W0,T0,n/a,01/02/2013 10:55,0,0,0.27,0.27,0,0,1215,1215,0
2013-02-01,26,W0,T0,n/a,01/02/2013 10:55,0,0,0.16,0.16,0,0,720,720,0
2013-02-01,26,W0,T0,n/a,01/02/2013 10:56,0,0,0.26,0.26,0,0,1170,1170,1
2013-02-01,27,W0,T+,PLG,01/02/2013 10:56,0,0.01,0.08,0.09,0,53,360,413,0
2013-02-01,27,W0,T+,PLG,01/02/2013 10:57,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,27,W0,T+,PLG,01/02/2013 10:57,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,28,W0,T0,PLG,01/02/2013 10:58,0,0,0.05,0.05,0,0,225,225,0
2013-02-01,28,W0,T0,PLG,01/02/2013 10:58,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,28,W0,T0,PLG,01/02/2013 10:59,0,0,0.05,0.05,0,0,225,225,0
2013-02-01,29,W+,T+,L,01/02/2013 10:59,0,0,0.19,0.19,0,0,855,855,0
2013-02-01,29,W+,T+,L,01/02/2013 11:00,0,0,0.22,0.22,0,0,990,990,1
2013-02-01,29,W+,T+,L,01/02/2013 11:00,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,30,W+,T+,n/a,01/02/2013 11:01,0,0,0.25,0.25,0,0,1125,1125,0
2013-02-01,30,W+,T+,n/a,01/02/2013 11:01,0,0,0.17,0.17,0,0,765,765,0
2013-02-01,30,W+,T+,n/a,01/02/2013 11:01,0,0,0.14,0.14,0,0,630,630,0
2013-02-01,31,W+,T0,G,01/02/2013 11:07,0,0,0.21,0.21,0,0,945,945,1
2013-02-01,31,W+,T0,G,01/02/2013 11:08,0,0.02,0.14,0.16,0,106,630,736,0
2013-02-01,31,W+,T0,G,01/02/2013 11:08,0,0.04,0.11,0.15,0,212,495,707,2
2013-02-01,32,W+,T+,L,01/02/2013 11:09,0,0,0.13,0.13,0,0,585,585,0
2013-02-01,32,W+,T+,L,01/02/2013 11:09,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,32,W+,T+,L,01/02/2013 11:10,0,0,0.08,0.08,0,0,360,360,0
2013-02-01,33,W+,T0,L,01/02/2013 11:10,0,0,0.11,0.11,0,0,495,495,0
2013-02-01,33,W+,T0,L,01/02/2013 11:11,0,0,0.11,0.11,0,0,495,495,0
2013-02-01,33,W+,T0,L,01/02/2013 11:11,0,0,0.11,0.11,0,0,495,495,0
2013-02-01,34,W0,T0,G,01/02/2013 11:12,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,34,W0,T0,G,01/02/2013 11:12,0,0,0.04,0.04,0,0,180,180,0
2013-02-01,34,W0,T0,G,01/02/2013 11:13,0,0,0.03,0.03,0,0,135,135,0
2013-02-01,35,W0,T0,PLG,01/02/2013 11:13,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,35,W0,T0,PLG,01/02/2013 11:13,0,0,0.1,0.1,0,0,450,450,0
2013-02-01,35,W0,T0,PLG,01/02/2013 11:14,0,0,0.1,0.1,0,0,450,450,0
2013-02-01,36,W0,T0,PLG,01/02/2013 11:15,0,0,0.23,0.23,0,0,1035,1035,1
2013-02-01,36,W0,T0,PLG,01/02/2013 11:15,0,0,0.2,0.2,0,0,900,900,0
2013-02-01,36,W0,T0,PLG,01/02/2013 11:16,0,0,0.25,0.25,0,0,1125,1125,0
2013-02-01,37,W0,T+,PLG,01/02/2013 11:16,0,0,0.28,0.28,0,0,1260,1260,0
2013-02-01,37,W0,T+,PLG,01/02/2013 11:17,0,0,0.44,0.44,0,0,1980,1980,0
2013-02-01,37,W0,T+,PLG,01/02/2013 11:17,0,0,0.15,0.15,0,0,675,675,0
2013-02-01,38,W0,T+,P,01/02/2013 11:18,0,0.02,0.05,0.07,0,106,225,331,0
2013-02-01,38,W0,T+,P,01/02/2013 11:18,0,0,0.06,0.06,0,0,270,270,0
2013-02-01,38,W0,T+,P,01/02/2013 11:18,0,0.02,0.06,0.08,0,106,270,376,0
2013-02-01,39,W0,T+,P,01/02/2013 11:19,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,39,W0,T+,P,01/02/2013 11:20,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,39,W0,T+,P,01/02/2013 11:20,0,0,0.07,0.07,0,0,315,315,0
2013-02-01,40,W0,T+,G,01/02/2013 11:21,0,0,0.17,0.17,0,0,765,765,1
2013-02-01,40,W0,T+,G,01/02/2013 11:21,0,0,0.17,0.17,0,0,765,765,1
2013-02-01,40,W0,T+,G,01/02/2013 11:22,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,41,W0,T0,n/a,01/02/2013 11:31,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,41,W0,T0,n/a,01/02/2013 11:31,0,0,0.15,0.15,0,0,675,675,0
2013-02-01,41,W0,T0,n/a,01/02/2013 11:32,0,0,0.11,0.11,0,0,495,495,0
2013-02-01,42,W0,T0,n/a,01/02/2013 11:32,0,0,0.09,0.09,0,0,405,405,0
2013-02-01,42,W0,T0,n/a,01/02/2013 11:33,0,0,0.12,0.12,0,0,540,540,0
2013-02-01,42,W0,T0,n/a,01/02/2013 11:33,0,0,0.05,0.05,0,0,225,225,0
2013-02-01,43,W0,T+,L,01/02/2013 11:33,0,0,0.18,0.18,0,0,810,810,0
2013-02-01,43,W0,T+,L,01/02/2013 11:34,0,0,0.11,0.11,0,0,495,495,0
2013-02-01,43,W0,T+,L,01/02/2013 11:34,0,0.01,0.1,0.11,0,53,450,503,0
2013-02-01,44,W+,T+,P,01/02/2013 11:35,0,0,0.09,0.09,0,0,405,405,0
