Sediment Level ,Nitrogen ,Phosphorus,Mesocosm,Siphonoperla torrentium,Isoperla grammatica ,Leuctra sp.,    Ecdyonurus sp.,    Rhithrogena semicolorata,Baetis rhodani,Baetis muticus,Ephemerella ignita,Silo pallipes,Sericostoma personatum,Hydropsyche sp.,   Agapetus fuscipes,Plectronemaia sp.,   Potamophylax sp.,   Halesus sp. ,Lepidostoma hirtum,Dicranota sp. ,Limoniidae,Chironomidae ,Simuliidae,Gammarus duebeni,Ancyclus fluviatilis,Sphaeriidae,Potamopyrgus antipodarum,Oligochaetae,Hydracarina,Elmis aenea,Limnius volckmari,Dytiscus sp.,Hydraenea
H,CN,CP,1,0,0,0,1,4,1,1,1,12,0,1,2,0,3,0,0,3,0,189,0,52,0,0,66,3,0,4,4,0,0
H,0N,AP,2,2,1,0,1,15,2,0,5,7,0,0,1,0,0,0,0,3,0,166,0,36,1,0,39,1,0,5,2,0,0
H,CN,0P,3,0,0,2,0,2,2,0,4,0,1,0,0,0,0,0,0,3,0,357,1,25,0,1,34,0,0,2,0,1,0
0,AN,AP,4,0,0,4,0,5,3,1,5,6,1,0,0,0,0,0,0,4,0,303,0,29,1,0,116,1,0,7,1,0,0
0,0N,CP,5,2,2,5,1,15,0,1,11,13,0,2,2,0,0,0,0,5,0,174,0,82,0,0,73,0,0,11,1,0,2
H,AN,AP,6,1,0,5,0,5,1,0,3,6,0,0,1,0,0,0,0,6,1,146,0,8,2,0,65,2,0,5,0,0,0
H,0N,CP,7,1,0,0,0,6,4,0,2,9,1,0,1,0,1,0,0,3,1,176,0,112,1,0,109,3,0,8,4,0,0
H,AN,0P,8,0,1,0,0,10,1,0,0,5,1,2,0,0,0,0,0,6,0,88,0,77,1,0,137,3,0,9,2,0,0
0,CN,CP,9,1,0,2,0,9,2,0,4,8,1,1,0,0,0,0,0,7,1,175,0,38,0,0,78,0,0,9,1,0,0
0,0N,AP,10,1,1,1,0,10,3,0,6,6,1,2,0,0,3,0,0,6,0,224,0,88,1,0,115,1,0,13,2,0,0
H,0N,CP,11,0,0,3,0,3,1,0,3,14,0,1,2,0,0,0,0,3,0,200,0,40,1,0,37,2,0,2,0,0,0
H,AN,0P,12,0,0,3,1,2,1,0,1,12,1,1,2,0,0,0,0,1,0,235,0,24,1,0,25,0,0,4,2,0,0
0,CN,CP,13,2,0,1,0,6,0,0,11,4,0,1,0,0,1,0,0,7,0,293,0,34,0,0,25,1,0,6,1,0,0
0,0N,AP,14,1,1,7,0,8,5,2,3,13,0,2,0,0,0,0,0,3,0,245,1,40,0,0,49,0,0,12,0,0,0
0,CN,0P,15,1,1,6,0,1,0,0,8,21,1,5,4,0,0,0,0,5,0,186,0,59,1,0,51,0,0,8,3,0,1
H,0N,AP,16,0,0,0,0,5,1,0,0,21,0,0,1,0,3,0,0,1,2,81,0,108,0,0,87,1,0,4,3,0,0
H,CN,0P,17,0,1,1,0,10,3,0,1,3,0,1,1,0,0,0,0,7,1,234,0,53,0,0,102,1,0,5,1,0,0
0,AN,AP,18,0,0,8,0,10,1,1,4,8,0,0,0,0,0,0,0,6,0,228,2,21,0,0,32,1,0,3,0,0,0
0,0N,CP,19,1,0,3,0,11,4,1,11,10,0,1,0,0,1,0,0,4,0,533,0,67,0,0,108,1,0,6,6,0,0
0,AN,0P,20,1,1,0,0,5,0,0,5,13,0,0,2,0,7,0,0,2,1,228,2,51,1,0,42,0,0,6,2,0,0
