unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,dist,year,taxa,mass
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,CLARKIA PURPUREA,4.91
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,TRIFOLIUM HIRTUM,11.31
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,EREMOCARPUS SETIGERUS,0.0125
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,LUPINUS SPECIES,0.0227
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,HYPOCHAERIS GLABRA,0.7655
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,SILENE GALLICA,0.5376
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2004,HYPOCHAERIS RADICATA,0.737
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2004,TRIFOLIUM SPECIES,1.4876
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,AGOSERIS GRANDIFLORA,0.0774
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,TRIFOLIUM GRACILENTUM,0.026
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,LITTER,7.33
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,CERASTIUM GLOMERATUM,0.1038
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2004,BROMUS HORDEACEUS,0.2871
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,BROMUS HORDEACEUS,0.5933
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,ERODIUM BOTRYS,21.91
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,ANAGALLIS ARVENSIS,0.1282
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,LOTUS SPECIES,0.0824
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2007,UNSORTED BIOMASS,71.199997
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,FILAGO GALLICA,0.7495
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2004,LACTUCA SERRIOLA,0.0261
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,AVENA BARBATA,2.32
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2006,SILENE GALLICA,0.073
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2004,CLARKIA PURPUREA,0.5257
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,TRIFOLIUM GRACILENTUM,0.0813
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,1,2005,GILIA CLIVORUM,0.0148
