unit,site,block,name,plot,seed.total,seed.nassella,seed.bromus,seed.elymus,ntrt,ntrt,dist,year,taxa,cover
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,LOTUS STRIGOSUS,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CALANDRINIA SPECIES,4
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,BROMUS MADRITENSIS,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,HYPOCHAERIS GLABRA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,BROMUS MADRITENSIS,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,FILAGO GALLICA,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,TRIFOLIUM HIRTUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,ERODIUM BOTRYS,50
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,ERODIUM BOTRYS,30
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,BROMUS DIANDRUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,BROMUS MADRITENSIS,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,GILIA CLIVORUM,10
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,GILIA CLIVORUM,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,ANAGALLIS ARVENSIS,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,CLARKIA PURPUREA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,LOTUS PURSHIANUS,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,EREMOCARPUS SETIGERUS,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,HYPOCHAERIS GLABRA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,LOTUS STRIGOSUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,CALANDRINIA SPECIES,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,FILAGO GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,ERODIUM BOTRYS,35
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,BROMUS MADRITENSIS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,FILAGO GALLICA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,AVENA BARBATA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CALANDRINIA SPECIES,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,FILAGO GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,SILENE GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,GILIA ACHILLEIFOLIA,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,BROMUS MADRITENSIS,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,EREMOCARPUS SETIGERUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,TRIFOLIUM HIRTUM,8
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,AVENA BARBATA,25
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,GILIA CLIVORUM,20
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,FILAGO GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,TRIFOLIUM HIRTUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,CLARKIA PURPUREA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,GILIA CLIVORUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,TRIFOLIUM HIRTUM,85
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,SILENE GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,CLARKIA PURPUREA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,LUPINUS NANUS,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,CLARKIA PURPUREA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,FILAGO GALLICA,7
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CERASTIUM GLOMERATUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,CLARKIA PURPUREA,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,CLARKIA PURPUREA,60
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,AVENA BARBATA,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,AVENA BARBATA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,HYPOCHAERIS GLABRA,10
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,EREMOCARPUS SETIGERUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,TRIFOLIUM HIRTUM,15
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,FILAGO GALLICA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,HYPOCHAERIS GLABRA,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,TRIFOLIUM ALBOPURPUREUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,GALIUM APARINE,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,BROMUS HORDEACEUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,GALIUM APARINE,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,ERODIUM BOTRYS,50
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,AVENA BARBATA,4
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,BROMUS HORDEACEUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,ERODIUM BOTRYS,20
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,GALIUM APARINE,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,TRIFOLIUM HIRTUM,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,CLARKIA PURPUREA,20
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,FILAGO GALLICA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,CLARKIA PURPUREA,20
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,ERODIUM BOTRYS,80
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,BROMUS HORDEACEUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2007,LINANTHUS BICOLOR,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,SILENE GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,ERODIUM BOTRYS,12
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,HYPOCHAERIS GLABRA,5
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,TRIFOLIUM MICROCEPHALUM,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,TRIFOLIUM GRACILENTUM,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,ERODIUM BOTRYS,30
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,APIACEAE SPECIES,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,LUPINUS NANUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,ERODIUM BOTRYS,50
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,AVENA BARBATA,15
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,GILIA CLIVORUM,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,TRIFOLIUM HIRTUM,15
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,GILIA ACHILLEIFOLIA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2009,TRIFOLIUM HIRTUM,10
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,ERODIUM BOTRYS,45
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2008,CLARKIA PURPUREA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2004,TRIFOLIUM HIRTUM,65
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2010,FILAGO GALLICA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,SILENE GALLICA,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,EREMOCARPUS SETIGERUS,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2005,AVENA BARBATA,1
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,HYPOCHAERIS GLABRA,3
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,TRIFOLIUM HIRTUM,2
2,HASTINGS ,A ,ROBERTSON HOUSE ,2,0,0,0,0,#NAME?,nutrient,1,2006,HYPOCHAERIS GLABRA,10
