Table,Pos,Meso,Code,Temperature,Nutrient,Predators ,serratus,halidrys,cladophera,corallina ,mastocarpus,ulva,Cyano,Green Algae,Diatoms,Gibulla,Litorina,Patella,harpacticoid copepod,ostracod ,foraminifera,L.mariae,R.parva,L.parva,Gammaridae  ,Idoteidae,nauplius larvae ,echin larvae,bivalve,nematode,mite,polychaete A,Freshwater larvae ,Polychaete B  ,Brittle star ,caprella sp 
4,7,30,T+N-CW,Heated,Ambient,Crab & Whelk,8.963,2.291,1.053,0.7318,3.843,0,0.03,0.216666667,1.52,5.125,16.797,9.651,103,12,7,0,,,,,8,,,1000,14,,,,,
9,5,31,T-N+,Ambient,Enriched,None,2.972,2.04,2.907,1.0138,1.38,0.214,0.013333333,0.523333333,0.586666667,5.259,16.744,10.829,350,6,16,0,,,1,,205,5,3,5100,2,,,,,1
9,6,32,T-N-C,Ambient,Ambient,Crab,7.075,1.759,2.176,0.978,0.822,0,0.05,0.013333333,0.313333333,5.99,16.788,12.88,238,8,6,2,,1,1,1,,,,828,,,,,,
9,7,33,T+N+CW,Heated,Enriched,Crab & Whelk,5.416,1.786,3.133,0.9822,0.6,0,0.013333333,0.723333333,0.366666667,5.908,16.541,0,97,18,32,0,1,,3,,13,7,1,1108,,,7,,,
10,5,34,T-N-W,Ambient,Ambient,Whelk,3.992,1.977,2.622,0.95,1.593,0.329,0.046666667,0.543333333,0.636666667,6.611,17.15,12.93,603,14,25,0,,,11,,185,18,,4692,3,2,,,,
7,4,35,T-N+W,Ambient,Enriched,Whelk,5.086,1.697,2.876,1.0138,1.045,0.088,0.03,0.253333333,0.136666667,5.758,16.588,8.243,440,38,36,1,,,,,46,,1,120,4,,1,,,
9,8,36,T+N+,Heated,Enriched,None,4.785,1.601,2.603,0.983,0.884,0.149,0.016666667,0.26,0.08,6,14.951,9.321,297,29,17,6,8,,,,24,,1,492,2,,1,,,
10,8,37,T-N+,Ambient,Enriched,None,4.659,1.727,2.26,0.687,0,0.288,0.003333333,0.06,0.083333333,6.215,15.001,11.486,319,18,10,1,3,,,,2,,,154,3,,,1,,
4,0,38,T+N+,Heated,Enriched,None,3.733,2.078,2.672,1.026,1.248,0,0.073333333,0.093333333,0.556666667,6.372,15.603,3.853,172,35,7,,5,,4,1,3,,,218,7,,,,,
4,9,39,T-N-C,Ambient,Ambient,Crab,2.984,2.731,1.53,0.9284,0.949,0.28,0.08,0.453333333,0.773333333,5.864,15.91,3.236,100,23,8,1,,,70,9,45,,,384,8,,,,,
10,7,40,T+N-,Heated,Ambient,None,4.687,2.263,1.866,0.998,0.313,0.202,0.016666667,0.213333333,0.23,5.629,15.164,15.72,233,92,166,,1,,11,16,29,,,390,15,,1,,,1
9,2,41,T-N+W,Ambient,Enriched,Whelk,2.812,1.827,2.932,1.055,1.952,0.055,0.046666667,0.363333333,0.406666667,5.598,15.626,8.129,105,11,11,1,3,,1,,3,3,,438,4,,3,1,,
3,4,42,T+N-,Heated,Ambient,None,5.656,1.855,2.521,1.0238,1.07,0.063,0.053333333,0.163333333,0.473333333,5.278,13.986,11.058,225,9,3,,1,,91,,5,11,1,328,17,,,6,,
9,0,43,T-N-W,Ambient,Ambient,Whelk,5.088,2.222,2.161,1.066,0.749,0.126,0.043333333,0,0.38,6.4,15.547,10.998,538,17,26,1,,,2,,26,9,,906,6,,,1,,
6,7,44,T-N+C,Ambient,Enriched,Crab,3.993,2.06,1.867,0.9876,1.35,0.317,0.023333333,0.753333333,0.646666667,3.285,2.233,13.464,208,2,4,2,,,13,,14,,,506,,,,,,
3,0,45,T+N+CW,Heated,Enriched,Crab & Whelk,3.516,1.374,3.25,0.726,0.79,0.093,0.036666667,0.866666667,0.693333333,5.291,13.205,6.533,347,46,19,,,,,,12,6,1,730,11,,1,1,,
3,8,46,T+N-W,Heated,Ambient,Whelk,1.649,1.957,2.693,0.9958,1.153,0,0.19,0,0.91,6.597,15.89,8.742,86,30,3,1,3,,16,,18,,1,382,14,1,,,,
7,0,47,T+N+CW,Heated,Enriched,Crab & Whelk,3.929,2.423,2.315,0.9502,1.015,0,0.026666667,0,0.116666667,4.929,14.318,15.255,201,25,19,,,,9,,24,,1,245,10,,,,,
4,4,48,T+N+CW,Heated,Enriched,Crab & Whelk,3.452,2.217,2.267,1.0604,0.155,0.377,0,0.12,0.253333333,5.792,13.685,10.403,117,4,,1,,,2,1,20,,,601,1,,,,,
5,8,49,T-N+W,Ambient,Enriched,Whelk,1.449,2.473,2.545,1.0706,1.102,0,0.006666667,0.063333333,0.643333333,6.354,16.213,13.161,46,2,16,3,3,,,,8,4,1,166,8,,,,,
3,6,50,T+N+W,Heated,Enriched,Whelk,0.321,1.043,2.519,0.9748,0.64,0.038,0.013333333,0.18,0.426666667,5.911,14.844,13.805,203,11,8,1,5,,6,1,6,,1,1144,8,,,3,,
5,1,51,T+N-CW,Heated,Ambient,Crab & Whelk,3.39,1.094,1.553,0.969,0.565,0,0.01,0.05,0.543333333,6.02,14.368,8.712,471,4,2,5,,,,,5,,,422,,,,,,
3,7,52,T-N+,Ambient,Enriched,None,4.311,1.268,2.411,0.9284,2,0.608,0.03,0.316666667,0.23,6.183,14.206,15.136,359,25,39,,1,,1,1,95,,,2600,7,1,2,1,,
3,9,53,T-N-CW,Ambient,Ambient,Crab & Whelk,5.446,1.239,2.104,0.99,0.82,0.163,0.086666667,0.43,1.25,6.08,9.883,15.093,552,35,31,2,2,,23,,36,,,755,4,,1,,,
5,7,54,T+N+C,Heated,Enriched,Crab,1.706,0.837,1.97,0,0.473,0.325,0.206666667,0.09,0.923333333,5.51,11.537,0,454,7,5,,4,,22,4,160,,2,302,3,,,,,
8,1,55,T-N+CW,Ambient,Enriched,Crab & Whelk,1.005,0.853,2.421,0.9472,1.07,0.164,0.01,0.05,0.283333333,5.765,14.668,8.216,772,79,32,1,2,,5,,320,,,570,5,1,,1,,
6,8,56,T-N+C,Ambient,Enriched,Crab,5.386,0.972,2.069,0.4182,1.578,0.028,0.033333333,0.16,0.45,5.496,12.706,0,391,18,7,1,1,,10,,18,,,602,11,,3,,,
10,2,57,T+N+C,Heated,Enriched,Crab,3.293,1.28,2.471,0.9124,0.839,0.265,0.036666667,0.156666667,0.503333333,4.586,6.506,7.293,310,18,1,3,2,,,,3,,1,446,11,,,,,
5,0,58,T+N+C,Heated,Enriched,Crab,0.35,0.72,1.965,1.0998,0.475,0.187,0.07,0.436666667,0.436666667,6.487,14.556,8.229,268,40,15,1,2,,3,,6,4,3,726,2,,2,,,
4,1,59,T+N+W,Heated,Enriched,Whelk,4.2,2.48,2.469,1.0882,1.608,0,0.053333333,0.173333333,0.6,6.426,14.92,8.89,175,4,2,,,,3,,21,1,1,806,1,,2,,,
5,9,60,T-N+W,Ambient,Enriched,Whelk,2.408,1.263,2.398,0.734,1.309,0,0.043333333,0.116666667,0.54,5.061,14.307,12.895,559,22,7,,,,,,36,,1,1000,2,,2,2,,
8,4,61,T+N-W,Heated,Ambient,Whelk,2.702,1.538,2.166,1.056,0.387,0.147,0.086666667,1.286666667,0.903333333,5.112,14.348,13.34,721,36,27,,,,,,49,3,3,1140,8,,,1,,
10,0,62,T-N+CW,Ambient,Enriched,Crab & Whelk,4.163,1.947,2.279,0.5394,1.263,0.229,0.033333333,0.156666667,0.223333333,6.446,11.133,0,347,14,7,1,5,,1,,3,,,646,5,,4,,,
3,3,63,T-N-W,Ambient,Ambient,Whelk,5.024,1.227,2.634,0.9486,1.152,0.104,0.06,0.066666667,0.566666667,6.309,10.942,9.138,582,15,25,2,,,,,15,,,952,5,,1,,,
7,5,64,T-N-CW,Ambient,Ambient,Crab & Whelk,5.009,1.731,2.317,1.0132,2.343,0.022,0.03,0.64,0.273333333,6.298,13.307,16.255,218,9,5,2,1,,3,1,7,1,1,285,1,,1,1,,
10,9,65,T-N-C,Ambient,Ambient,Crab,0.488,2.037,2.8,0.968,0.98,0.057,0.066666667,0.21,0.55,0,0,0,329,84,18,,,,15,,43,1,1,1844,8,,3,,,
9,3,66,T-N-,Ambient,Ambient ,None,3.997,2.527,2.477,0.9864,1.472,0.014,0.09,0,0.9,6.097,14.626,11.712,245,70,7,4,,,2,,18,2,2,595,26,,,,,
6,6,67,T+N+C,Heated,Enriched,Crab,0.957,1.093,2.017,0.7942,1.192,0,0.003333333,0.04,0.22,6.687,13.86,14.466,122,1,2,1,1,,27,,9,,1,181,6,,,,,
8,5,68,T-N-W,Ambient,Ambient,Whelk,2.769,0.894,2.512,0.9282,0.557,0.308,0.156666667,0.07,1.113333333,6.47,11.257,10.346,178,60,26,4,1,,37,,7,,,107,2,,4,,,
7,9,69,T+N-W,Heated,Ambient,Whelk,4.201,1.445,2.473,0.9726,1.453,0.011,0.023333333,0.136666667,0.396666667,6.612,13.438,9.162,539,30,65,,,,1,,5,1,2,1054,9,,3,1,,
4,3,70,T-N-C,Ambient,Ambient,Crab,3.944,1.342,1.575,0.3576,0.249,0,0.036666667,0.006666667,0.42,6.411,13.573,6.106,185,7,,3,,,,1,,,,326,3,,3,2,,
10,3,71,T+N-C,Heated,Ambient,Crab,2.466,1.462,1.983,0.7404,1.083,0.106,0.08,0.04,0.46,0,0,0,356,41,28,,,,6,,12,2,,754,3,,2,11,,
4,6,72,T+N-C,Heated,Ambient,Crab,4.278,0.954,1.686,0.8812,0.252,0.362,0.19,0,1.02,0,0,7.206,241,86,50,3,2,,4,,2,,,224,10,,,,,
6,5,73,T+N-CW,Heated,Ambient,Crab & Whelk,2.738,1.268,1.871,0.8776,0.329,0.07,0.013333333,0.023333333,0.4,7.341,12.872,12.846,284,11,7,1,,,11,1,30,1,2,281,5,,2,4,,
6,9,74,T+N-C,Heated,Ambient,Crab,4.081,0.566,1.701,0.6238,0.298,0.051,0.013333333,0.056666667,0.123333333,6.535,12.771,10.921,141,10,5,1,,,5,,26,16,2,107,8,,1,,,
5,5,75,T-N+CW,Ambient,Enriched,Crab & Whelk,3.453,1.196,2.476,0.9836,2.538,0.067,0.016666667,0.183333333,0.463333333,7.512,14.492,4.21,238,80,12,10,4,,1,,5,7,1,505,5,,,,,
3,1,76,T-N-,Ambient,Ambient ,None,4.28,0.957,2.306,0.3824,1.091,1.142,0.09,0.106666667,0.81,6.536,15.422,10.169,344,7,5,,2,,,,50,,1,300,3,,,1,,
10,6,77,T-N+,Ambient,Enriched,None,4.365,1.732,2.441,0.7552,0.943,0.217,0.086666667,0.24,0.946666667,5.872,15.095,9.904,134,58,67,1,,,62,,,36,,258,4,,4,13,,
10,4,78,T+N-W,Heated,Ambient,Whelk,1.68,1.696,2.342,0.6596,0.686,0.39,0.066666667,0.186666667,0.433333333,7.07,14.561,0,334,15,8,,,,,,5,,,228,4,,2,5,,
7,6,79,T+N+,Heated,Enriched,None,3.574,1.331,1.977,0.7778,1.079,0,0.02,0.136666667,0.073333333,7.148,13.639,18.361,87,11,5,,,,27,,8,10,,70,1,,,,,
9,4,80,T-N+W,Ambient,Enriched,Whelk,4.587,2.038,2.376,1.0162,0.625,0.151,0.03,0.033333333,0.526666667,5.275,11.095,12.779,284,86,35,8,2,,2,,9,,2,1200,12,1,9,1,,
8,2,81,T+N+W,Heated,Enriched,Whelk,2.439,1.072,2.349,0.9378,1.392,0.081,0.026666667,0.253333333,0.363333333,4.519,13.718,11.471,275,80,5,2,2,,4,,4,,1,280,8,,,1,,
8,3,82,T+N-,Heated,Ambient,None,4.567,1.256,2.465,0.8268,0.901,0,0.02,0.47,0.27,6.232,10.479,15.898,995,33,5,2,2,,1,2,66,,,940,25,,1,,,
4,2,83,T-N+C,Ambient,Enriched,Crab,5.5,0.429,1.354,0.8352,1.257,0,0.026666667,0.033333333,0.466666667,3.668,13.696,0,281,24,19,1,,,13,1,20,125,2,460,10,,1,1,,
6,2,84,T-N+CW,Ambient,Enriched,Crab & Whelk,3.599,1.147,1.854,0.9672,0.103,0,0.12,0.04,1.283333333,4.392,14.438,0,276,7,4,,,,32,,8,22,3,200,7,,1,,1,
8,8,85,T+N-,Heated,Ambient,None,3.957,1.277,2.268,0.8636,1.388,0.055,0.053333333,0.08,0.506666667,6.565,17.27,9.437,323,11,5,1,1,,10,1,20,,,148,8,,,,,
8,9,86,T+N+,Heated,Enriched,None,5.154,1.626,2.343,0.978,0.364,0,0.013333333,0.17,0.41,5.721,15.886,12.468,307,40,35,2,1,,,6,13,,,301,22,,1,,,
5,2,87,T-N-,Ambient,Ambient ,None,2.573,1.97,2.256,1.1306,1.097,0,0.02,0.33,0.073333333,6.861,15.934,12.348,56,22,53,4,,,,2,1,3,,92,3,,,,,
6,0,88,T+N-C,Heated,Ambient,Crab,2.727,2.177,2.427,0.8254,0.666,0.167,0.036666667,0.066666667,0.726666667,6.571,12.979,11.239,287,90,15,2,,,8,,40,,,75,12,,2,1,,
6,1,89,T+N+W,Heated,Enriched,Whelk,4.494,1.794,2.135,0.9058,0.362,0,0.053333333,0.146666667,0.963333333,5.831,16.238,13.458,416,28,41,5,3,,1,,30,37,,544,11,,,,,
7,8,90,T-N-CW,Ambient,Ambient,Crab & Whelk,4.62,1.432,1.566,0.8998,1.312,0.368,0.006666667,0.163333333,0.09,5.968,15.223,16.565,64,34,23,,1,,1,,,4,,91,4,,,,,
8,6,91,T-N-CW,Ambient,Ambient,Crab & Whelk,5.833,0.782,1.699,0.8278,0.694,0.051,0.09,0.013333333,0.746666667,6.26,16.055,11.73,414,32,24,,2,,1,,15,,1,960,4,,1,1,,
5,6,92,T+N-W,Heated,Ambient,Whelk,4.163,1.178,1.639,0.8076,2.098,0,0.013333333,0.006666667,0.253333333,6.443,15.696,10.305,764,46,15,2,1,,2,,40,,,1702,21,,,,,
4,5,93,T-N+CW,Ambient,Enriched,Crab & Whelk,4.6,1.007,1.606,0.9126,1.316,0.23,0.03,0.006666667,0.896666667,5.938,15.049,0,510,6,5,,2,,,,125,,,499,2,,3,,,
3,2,94,T+N+,Heated,Enriched,None,3.794,1.077,1.272,0.781,0.157,0.111,0.09,0,1.12,0,9.131,9.17,696,37,23,2,1,,2,,42,11,,1066,5,,,,,
5,3,95,T-N-CW,Ambient,Ambient,Crab & Whelk,5.878,1.63,1.377,0.04,0.174,0,0.026666667,0.06,0.363333333,6.138,16.227,20.238,607,46,33,,,,1,,,,,360,11,,2,,,
7,3,96,T-N+,Ambient,Enriched,None,5.129,1.435,1.337,0.698,1.49,0.218,0.053333333,0.743333333,0.553333333,6.655,15.235,8.672,295,23,12,2,,,19,1,,10,,125,3,,,1,,
10,1,97,T+N+W,Heated,Enriched,Whelk,4.271,1.092,1.493,0.8914,1.555,0,0.046666667,0,0.333333333,6.914,14.307,8.165,427,19,2,2,3,,1,,1,,,350,,,1,,,
6,4,98,T-N-,Ambient,Ambient ,None,4.568,2.016,1.477,0.9282,0.764,0,0.043333333,0.193333333,0.253333333,6.662,15.956,13.928,251,28,15,,4,,,1,5,1,,142,12,1,,,,
8,0,99,T+N+C,Heated,Enriched,Crab,3.015,1.079,1.555,0.9234,1.435,0.13,0.04,0.023333333,0.61,5.7,14.382,0,172,10,1,2,,,1,1,,5,,246,2,,,,,
8,7,100,T-N+C,Ambient,Enriched,Crab,7.638,0.975,1.568,0.4496,0.42,0.1,0.053333333,0.216666667,0.65,6.748,15.249,0,608,21,15,2,2,,,,16,3,3,241,5,,7,,,
6,3,101,T-N-C,Ambient,Ambient,Crab,5.895,1.646,1.394,0.7824,0.564,0.083,0.03,0.083333333,0.623333333,6.915,15.209,11.098,801,64,57,1,,,,,64,2,,728,12,1,,,,
7,2,102,T-N-W,Ambient,Ambient,Whelk,4.46,1.267,2.098,0.7368,0.424,0.048,0.023333333,0.283333333,0.626666667,6.294,16.026,10.627,382,58,71,2,,,2,,22,,,480,5,,1,,,
9,1,103,T+N-C,Heated,Ambient,Crab,4.874,1.41,1.065,0.684,0.306,0.711,0.02,0.043333333,0.463333333,5.043,7.411,10.188,361,95,12,7,6,,,1,68,,,374,11,,1,3,,
5,4,104,T-N+C,Ambient,Enriched,Crab,6.093,1.405,1.404,0.2926,0.386,0.058,0.053333333,0.02,0.913333333,5.895,15.582,10.236,445,13,20,4,,,,,57,,,397,7,,,,,
9,9,105,T+N+CW,Heated,Enriched,Crab & Whelk,3.949,1.101,1.356,0.96,0.55,0,0.063333333,0,0.433333333,5.667,14.539,0,345,160,13,,,,,2,6,,,1426,12,2,,,,
4,8,106,T+N-,Heated,Ambient,None,2.587,1.292,2.122,0.9306,0.336,0.033,0.016666667,0.046666667,0.276666667,7.453,14.842,5.768,429,17,12,,2,,9,2,27,,,751,13,,,,,
7,1,107,T+N-CW,Heated,Ambient,Crab & Whelk,3.622,1.234,1.485,0.7616,0.379,0.265,0.02,0.07,0.786666667,6.705,15.438,12.386,732,17,17,4,,,3,,20,,,964,40,,,,,
7,7,108,T+N-CW,Heated,Ambient,Crab & Whelk,5.24,1.21,1.611,0.76,1.604,0,0.003333333,0.166666667,0.11,5.523,16.427,12.795,222,24,1,,4,,,,4,,3,412,2,,,,,
3,5,109,T-N-,Ambient,Ambient,None,4.469,1.222,2.252,0.8874,0.213,0,0.036666667,0.07,0.58,7.023,17.16,10.14,287,16,17,1,1,,1,,25,2,1,75,1,,,,,
