FLUME,TREAT,TEMP,EXT,TSS,NIT,PHOS,Cl,Achnanthes,Anabaenopsis,Cocconeis,Diatoma,Encyonema,Fragilaria,Gomphonema,Limnothrix,Neidium,Navicula,Nitzschia,Phormidium,Planktothrix,Reimeria,Staurosira,Stigeoclonium,Synedra,Rhizoclonium,Leptolyngbya,Planktolyngbya,Mougeotia
1,Temp,20.96,0,0,364.75,19,79.4,0,0,0,0,52.3,209.1,2718.6,0,0,3084.6,522.8,1045.6,575.1,52.3,0,0,627.4,313.7,6273.8,0,0
2,Temp,20.78,0,0,364.75,19,79.4,0,0,0,0,0,4287.1,4809.9,0,0,4914.5,6169.2,0,0,0,0,0,5123.6,7842.2,0,731.9,0
3,Temp,19.28,0,0,364.75,19,79.4,0,0,0,0,0,7110.3,11292.8,0,0,25095.1,14429.7,0,0,15475.3,0,0,8992.4,0,0,0,4809.9
4,Temp,21.48,0,0,364.75,19,79.4,0,0,209.1,0,104.6,5228.1,313.7,0,0,2404.9,10665.4,0,0,6901.1,3241.4,0,5019,0,0,0,1359.3
5,Temp,20.21,0,0,364.75,19,79.4,0,993.3,0,0,104.6,1045.6,522.8,0,0,3032.3,0,0,0,0,0,0,2823.2,4077.9,1986.7,313.7,1254.8
6,Temp,21.74,0,0,364.75,19,79.4,0,0,0,0,209.1,1150.2,522.8,0,0,7633.1,1986.7,0,0,0,0,0,1568.4,9724.3,1359.3,0,7319.4
7,Temp,22.98,0,0,364.75,19,79.4,0,0,504.3,0,1512.8,29247.5,3025.6,0,0,74127.4,18657.9,0,0,0,0,0,42358.5,0,0,0,0
8,Temp,20.03,0,0,364.75,19,79.4,0,0,0,0,533.1,23456.8,1066.2,0,0,70903.6,7463.5,0,0,0,8529.8,17059.5,37317.7,0,0,0,0
10,Temp,22.97,0,0,364.75,19,79.4,0,0,0,0,1827,18878.6,3044.9,0,0,90739.2,17660.7,0,0,0,8525.8,0,42629.2,0,0,0,3044.9
11,Temp,22.59,0,0,364.75,19,79.4,0,0,0,0,323.7,2913.2,6150.1,0,0,33663.7,57940.5,0,0,0,7444.9,0,2589.5,6150.1,8415.9,1618.4,2589.5
12,Temp,23.62,0,0,364.75,19,79.4,0,0,0,0,0,23425.8,1301.4,0,0,26462.5,13882,0,0,0,8242.4,0,55961.7,0,0,0,867.6
13,Ext,19.79,29,0,364.75,19,79.4,0,0,460.5,0,0,0,920.9,0,0,119719.3,6446.4,0,0,0,0,0,5065,29929.8,0,0,920.9
14,Ext,19.79,15,0,364.75,19,79.4,2935.5,0,0,0,0,7632.3,1761.3,0,1761.3,145600.1,17612.9,0,0,0,0,0,27006.5,0,7632.3,0,0
15,Ext,19.79,15,0,364.75,19,79.4,0,0,437.8,0,0,5253.2,8317.6,0,0,46403.4,10944.2,0,0,0,0,0,13570.8,0,48592.2,0,2626.6
16,Ext,19.79,6,0,364.75,19,79.4,0,0,0,0,0,33297.6,3027.1,605.4,0,117449.6,19373.1,0,0,0,17556.9,0,29665.1,0,24821.8,605.4,3027.1
17,Ext,19.79,13,0,364.75,19,79.4,0,0,0,0,0,8959.4,1414.6,0,0,70732,9902.5,0,0,0,0,0,24992,0,9430.9,0,27349.7
18,Ext,19.79,32,0,364.75,19,79.4,24626.5,0,0,0,0,0,7762.7,0,0,31050.9,5621.3,0,0,0,0,0,0,0,19540.6,0,0
19,Ext,19.79,6,0,364.75,19,79.4,21369.7,0,1257,0,0,64109.2,1257,0,0,165929.7,37711.3,0,0,0,123190.2,0,123190.2,0,15084.5,0,0
20,Ext,19.79,24,0,364.75,19,79.4,8087,0,0,0,165,1485.4,0,0,0,28552,5446.3,0,0,0,0,0,13203.2,0,3465.9,330.1,0
21,Ext,19.79,24,0,364.75,19,79.4,0,0,0,0,149.1,894.7,3578.9,0,0,23411.7,1640.3,0,0,0,0,894.7,5964.8,5964.8,1491.2,2385.9,0
22,Ext,19.79,32,0,364.75,19,79.4,0,0,0,0,259.2,8814.5,2851.7,0,0,27739.7,7259,0,0,0,8296,0,16592,259.2,6740.5,0,0
23,Ext,19.79,29,0,364.75,19,79.4,0,0,0,0,0,17456.4,14401.5,0,0,64588.6,5673.3,0,0,0,0,0,20947.6,1309.2,9164.6,872.8,2182
24,Ext,19.79,13,0,364.75,19,79.4,0,0,0,0,0,13769.3,7212.5,0,0,91795.7,36718.3,0,0,0,0,0,47209.2,0,0,0,0
