Channel_flume,Treatment,Moss,Sand,Dispersal,Asellus aquaticus,Elmis aenea,Limnius volckmari,Dytiscidae,Leptophlebia sp.,Kageronia fuscogrisea,Heptagenia sulphurea,Caenis rivulorum,Ephemerella mucronata,Seratella ignita,Baetis rhodani,Baetis muticus,Centroptilum luteolum,Baetis subalpinus,Baetis fuscatus,Isoperla sp.,Diura sp.,Nemoura sp.,Taeniopteryx nebulosa,Amphinemura borealis,Hydropsyche siltalai,Hydropsyche pellucidula,Hydropsyche angustipennis,Cheumatopsyche lepida,Polycentropus flavomaculatus,Polycentropus irrotatus,Neureclipsis bimaculata,Rhyacophila nubila,Ceratopsyche nevae,Lepidostoma hirtum,Ceraclea dissimilis,Arthripsodes sp.,Ylodes sp.,Micrasema setiferum,Hydroptila sp.,Oxyethira sp.,Ithytrichia sp.,Pisidium sp.,Sphaerium sp.,Gyraulus sp.,Radix peregra,Anodonta anatina,Tanypodinae,Chrinominae,Diamesinae,Orthocladiinae,Prodiamesinae,Simuliidae,Limnophora sp.,Dicranota sp.,Wiedemannia sp.,Ceratopogonidae,Chaoborus sp.,Oligochaeta,Glossiphonia complanata,Erpobdella octoculata,Nematoda,Dendrocoelum lacteum,Anisoptera,Hydracarina
3_3,Co,No,No,No,328.7197232,51.90311419,0,0,95.15570934,8.650519031,216.2629758,43.25259516,17.30103806,0,155.7093426,51.90311419,0,0,17.30103806,138.4083045,0,8.650519031,34.60207612,25.95155709,198.9619377,77.85467128,0,0,311.4186851,0,354.6712803,95.15570934,0,51.90311419,0,0,0,0,0,17.30103806,0,0,0,25.95155709,95.15570934,0,452.9726329,50.33029255,50.33029255,0,0,0,0,0,0,0,0,0,0,0,0,17.30103806,0,0
4_4,Co,No,No,No,153.8461538,121.7948718,0,0,108.974359,32.05128205,76.92307692,102.5641026,12.82051282,0,198.7179487,44.87179487,0,0,19.23076923,147.4358974,0,12.82051282,19.23076923,51.28205128,365.3846154,57.69230769,0,6.41025641,564.1025641,0,391.025641,153.8461538,0,134.6153846,0,6.41025641,0,0,12.82051282,102.5641026,6.41025641,0,0,51.28205128,70.51282051,0,906.3804413,45.31902207,22.65951103,0,0,6.41025641,0,0,0,0,0,6.41025641,0,0,0,19.23076923,0,0
5_4,Co,No,No,No,64.1025641,25.64102564,0,0,153.8461538,57.69230769,256.4102564,115.3846154,19.23076923,6.41025641,192.3076923,32.05128205,0,0,0,211.5384615,0,12.82051282,12.82051282,102.5641026,506.4102564,64.1025641,0,0,275.6410256,0,506.4102564,192.3076923,0,185.8974359,0,0,0,0,0,115.3846154,0,0,0,38.46153846,44.87179487,0,632.5828643,74.42151344,37.21075672,18.60537836,0,6.41025641,0,0,0,0,0,0,0,0,0,12.82051282,6.41025641,0
2_4,Disp,No,No,Yes,692.0415225,112.4567474,51.90311419,0,121.1072664,173.0103806,190.3114187,69.20415225,8.650519031,0,190.3114187,77.85467128,0,0,17.30103806,302.7681661,0,0,25.95155709,25.95155709,692.0415225,198.9619377,0,17.30103806,173.0103806,0,285.467128,250.8650519,0,77.85467128,0,0,0,0,0,17.30103806,0,0,25.95155709,0,69.20415225,0,523.183391,24.91349481,49.82698962,24.91349481,0,0,0,8.650519031,0,0,0,8.650519031,8.650519031,25.95155709,0,0,0,0
1_2,Disp,No,No,Yes,181.6608997,190.3114187,0,0,112.4567474,0,112.4567474,8.650519031,0,8.650519031,155.7093426,60.55363322,0,8.650519031,17.30103806,415.2249135,0,8.650519031,69.20415225,51.90311419,467.1280277,224.9134948,0,51.90311419,129.7577855,0,519.0311419,121.1072664,0,259.5155709,0,0,0,8.650519031,0,17.30103806,0,276.816609,0,43.25259516,51.90311419,0,363.3217993,181.6608997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_1,Disp,No,No,Yes,108.974359,102.5641026,6.41025641,0,76.92307692,44.87179487,108.974359,32.05128205,19.23076923,0,198.7179487,76.92307692,0,0,19.23076923,147.4358974,0,19.23076923,19.23076923,19.23076923,423.0769231,134.6153846,0,6.41025641,179.4871795,0,564.1025641,89.74358974,0,500,12.82051282,0,0,0,25.64102564,153.8461538,0,480.7692308,25.64102564,89.74358974,6.41025641,6.41025641,290.346908,0,82.95625942,331.8250377,0,0,6.41025641,6.41025641,0,0,0,0,0,0,0,6.41025641,0,0
3_2,Sand,No,Yes,No,103.8062284,173.0103806,0,0,0,25.95155709,51.90311419,60.55363322,0,0,129.7577855,25.95155709,0,0,8.650519031,147.0588235,0,8.650519031,8.650519031,34.60207612,216.2629758,69.20415225,0,0,43.25259516,0,69.20415225,207.6124567,0,60.55363322,0,0,0,0,0,8.650519031,0,0,0,17.30103806,86.50519031,0,229.9596309,0,20.90542099,0,0,0,0,0,0,0,0,0,0,0,0,8.650519031,0,0
4_3,Sand,No,Yes,No,70.51282051,128.2051282,0,0,6.41025641,25.64102564,25.64102564,64.1025641,12.82051282,6.41025641,70.51282051,38.46153846,0,0,12.82051282,243.5897436,0,25.64102564,64.1025641,32.05128205,602.5641026,76.92307692,0,0,173.0769231,0,192.3076923,205.1282051,0,173.0769231,0,12.82051282,0,0,0,6.41025641,0,0,0,19.23076923,6.41025641,0,210,16.15384615,96.92307691,80.76923076,0,19.23076923,0,0,0,0,0,0,0,0,0,6.41025641,0,0
5_1,Sand,No,Yes,No,76.92307692,96.15384615,0,0,44.87179487,0,6.41025641,96.15384615,19.23076923,0,160.2564103,32.05128205,0,0,6.41025641,141.025641,0,12.82051282,0,70.51282051,224.3589744,108.974359,0,12.82051282,64.1025641,0,192.3076923,57.69230769,0,365.3846154,0,6.41025641,0,0,0,38.46153846,25.64102564,0,0,25.64102564,25.64102564,0,505.9171598,56.21301775,56.21301775,56.21301775,56.21301775,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0
2_1,Sand*Disp,No,Yes,Yes,86.50519031,207.6124567,43.25259516,0,0,17.30103806,51.90311419,155.7093426,17.30103806,0,233.5640138,25.95155709,0,17.30103806,17.30103806,147.0588235,0,0,51.90311419,25.95155709,1038.062284,250.8650519,17.30103806,17.30103806,34.60207612,0,181.6608997,268.16609,0,216.2629758,0,0,0,0,0,25.95155709,0,8.650519031,60.55363322,8.650519031,17.30103806,0,124.567474,0,83.04498268,0,0,0,8.650519031,0,0,0,0,8.650519031,0,0,0,8.650519031,0,0
