No,Tag,Spp,Treat,Fgrp,ShootBio,RootBio,TotalBio,RS_Ratio
1,1A1,Phem,NP+,nleg,62.5,59.35,121.85,0.9496
2,1A2,Ziju,Con,nleg,8.66,8.29,16.95,0.957274827
3,1A3,Phem,Con,nleg,13.77,24.36,38.13,1.769063181
5,1A5,Tear,P+,nleg,16.17,21.06,37.23,1.302411874
6,1A6,Alam,N+,leg,25.11,41.09,66.2,1.636399841
7,1A7,Lasp,P+,nleg,10.84,23.9,34.74,2.204797048
8,1A8,Saem,P+,nleg,5.03,7.82,12.85,1.554671968
9,1A9,Saem,Con,nleg,3.69,2.79,6.48,0.756097561
10,1A10,Lasp,NP+,nleg,17.18,22.79,39.97,1.326542491
16,1A16,Acca,P+,leg,5.86,40.89,46.75,6.9778157
17,1A17,Saem,N+,nleg,13.85,17.18,31.03,1.240433213
18,1A18,Saem,P+,nleg,9.53,18.15,27.68,1.904512067
20,1A20,Dala,N+,leg,2.98,3.4,6.38,1.140939597
21,1A21,Ziju,N+,nleg,20.01,20.15,40.16,1.006996502
22,1A22,Acle,P+,leg,6.1,16.41,22.51,2.690163934
23,1A23,Phem,Con,nleg,4.78,15.24,20.02,3.188284519
26,1A26,Tebe,Con,nleg,4.4,12.11,16.51,2.752272727
27,1A27,Tebe,Con,nleg,3.59,13.59,17.18,3.78551532
29,1A29,Tebe,Con,nleg,1.98,20,21.98,10.1010101
31,1A31,Lain,P+,nleg,9.76,17.32,27.08,1.774590164
33,1A33,Phem,NP+,nleg,14.97,30.59,45.56,2.043420174
34,1A34,Tebe,NP+,nleg,9.44,48.42,57.86,5.129237288
35,1A35,Ziju,Con,nleg,6.82,17.13,23.95,2.511730205
36,1A36,Phem,N+,nleg,15.81,45.04,60.85,2.848829855
39,1A39,Ziju,NP+,nleg,17.07,19.55,36.62,1.145284124
41,1A41,Saem,N+,nleg,19.12,27.59,46.71,1.442991632
42,1A42,Dala,P+,leg,1.31,9.67,10.98,7.381679389
44,1A44,Alam,NP+,leg,29.35,35.8,65.15,1.219761499
45,1A45,Alle,NP+,leg,18.11,58.49,76.6,3.229707344
46,1A46,Dala,Con,leg,4.08,12.75,16.83,3.125
47,1A47,Phem,NP+,nleg,15.96,43.87,59.83,2.748746867
48,1A48,Ziju,Con,nleg,3.31,7.33,10.64,2.214501511
49,1A49,Lasp,Con,nleg,11.11,22.81,33.92,2.053105311
50,1A50,Lasp,N+,nleg,16.01,31.57,47.58,1.971892567
51,1B1,Phem,P+,nleg,5.5,16.55,22.05,3.009090909
52,1B2,Lain,Con,nleg,8.45,10.69,19.14,1.265088757
56,1B6,Lain,P+,nleg,9.45,19.73,29.18,2.087830688
59,1B9,Acfe,Con,leg,3.24,6.04,9.28,1.864197531
60,1B10,Tebe,P+,nleg,5.49,12.3,17.79,2.240437158
61,1B11,Ziju,Con,nleg,3.67,7.97,11.64,2.171662125
62,1B12,Acca,Con,leg,4.16,22.55,26.71,5.420673077
65,1B15,Tebe,P+,nleg,4.25,16,20.25,3.764705882
68,1B18,Saem,P+,nleg,2.12,3.02,5.14,1.424528302
69,1B19,Saem,NP+,nleg,13.29,19.75,33.04,1.486079759
70,1B20,Lain,P+,nleg,13.45,11.92,25.37,0.886245353
74,1B24,Ziju,P+,nleg,15.03,12.57,27.6,0.836327345
76,1B26,Tebe,NP+,nleg,3.76,20.73,24.49,5.513297872
77,1B27,Tebe,Con,nleg,3.64,11.62,15.26,3.192307692
78,1B28,Alle,NP+,leg,1.62,5.18,6.8,3.197530864
79,1B29,Lasp,Con,nleg,20.76,25.07,45.83,1.20761079
82,1B32,Phem,P+,nleg,24.64,39.13,63.77,1.588068182
83,1B33,Saem,Con,nleg,6.66,6.09,12.75,0.914414414
86,1B36,Acca,NP+,leg,25.71,76.63,102.34,2.980552314
87,1B37,Acfe,N+,leg,2.73,3.81,6.54,1.395604396
88,1B38,Dala,P+,leg,4.44,22.68,27.12,5.108108108
89,1B39,Acfe,NP+,leg,39.74,75.12,114.86,1.890286865
90,1B40,Acca,N+,leg,8.9,49.33,58.23,5.542696629
91,1B41,Phem,Con,nleg,6.68,17.38,24.06,2.601796407
92,1B42,Lasp,NP+,nleg,24.26,35.64,59.9,1.469084913
93,1B43,Alle,N+,leg,19.48,37.84,57.32,1.942505133
94,1B44,Alam,N+,leg,18.75,32.35,51.1,1.725333333
96,1B46,Acca,N+,leg,4.82,21.82,26.64,4.526970954
97,1B47,Phem,N+,nleg,25.85,60.23,86.08,2.329980658
99,1B49,Acfe,Con,leg,12.77,15.94,28.71,1.248238058
100,1B50,Saem,NP+,nleg,8.46,11.38,19.84,1.345153664
101,2A1,Tebe,Con,nleg,13.8,28.87,42.67,2.092028986
103,2A3,Acca,Con,leg,4.12,25.61,29.73,6.216019417
104,2A4,Lasp,N+,nleg,42.2,41.12,83.32,0.974407583
105,2A5,Tear,P+,nleg,19.59,25.63,45.22,1.308320572
107,2A7,Acca,Con,leg,6.01,22.79,28.8,3.792013311
108,2A8,Alam,N+,leg,6.81,9.79,16.6,1.437591777
110,2A10,Saem,NP+,nleg,11.13,12.3,23.43,1.105121294
111,2A11,Phem,P+,nleg,8.08,27.03,35.11,3.34529703
113,2A13,Lain,P+,nleg,6.12,11.77,17.89,1.923202614
114,2A14,Lain,P+,nleg,5.82,9.33,15.15,1.603092784
115,2A15,Saem,Con,nleg,11.26,8.67,19.93,0.769982238
116,2A16,Ziju,N+,nleg,4.52,5.66,10.18,1.252212389
117,2A17,Lain,NP+,nleg,8.32,10.29,18.61,1.236778846
118,2A18,Lain,P+,nleg,4.82,5.22,10.04,1.082987552
119,2A19,Phem,NP+,nleg,13.27,19.96,33.23,1.504144687
120,2A20,Lasp,P+,nleg,7.79,10.6,18.39,1.36071887
121,2A21,Alle,P+,leg,4.97,16.44,21.41,3.307847082
122,2A22,Acfe,P+,leg,6.49,14.52,21.01,2.237288136
123,2A23,Tear,N+,nleg,11.64,22.76,34.4,1.95532646
125,2A25,Ziju,N+,nleg,6.87,9.27,16.14,1.349344978
126,2A26,Dala,NP+,leg,24.5,26.81,51.31,1.094285714
130,2A30,Lain,NP+,nleg,9.47,21.14,30.61,2.232312566
132,2A32,Dala,P+,leg,2.93,11.17,14.1,3.812286689
133,2A33,Dala,N+,leg,1.35,3.99,5.34,2.955555556
134,2A34,Acfe,N+,leg,6.95,7.31,14.26,1.051798561
135,2A35,Alam,NP+,leg,15.29,31.42,46.71,2.054937868
140,2A40,Acca,P+,leg,2.44,24.54,26.98,10.05737705
142,2A42,Dala,N+,leg,3.58,10.63,14.21,2.969273743
145,2A45,Lain,Con,nleg,17.03,21.76,38.79,1.277745156
147,2A47,Saem,NP+,nleg,31.85,50.13,81.98,1.573940345
148,2A48,Alle,P+,leg,6.39,12.02,18.41,1.881064163
149,2A49,Lasp,NP+,nleg,14.34,29.46,43.8,2.054393305
150,2A50,Acfe,N+,leg,4.79,5.27,10.06,1.100208768
151,2B1,Acfe,Con,leg,6.32,16.71,23.03,2.643987342
154,2B4,Phem,N+,nleg,48.83,36.94,85.77,0.75650215
156,2B6,Tear,N+,nleg,20.31,31.96,52.27,1.57360906
157,2B7,Acfe,N+,leg,4.19,9,13.19,2.14797136
159,2B9,Lain,P+,nleg,6.63,11.11,17.74,1.67571644
162,2B12,Tear,N+,nleg,26.86,35.75,62.61,1.330975428
163,2B13,Tear,NP+,nleg,16.66,36.49,53.15,2.19027611
164,2B14,Phem,P+,nleg,7.93,17.97,25.9,2.266078184
166,2B16,Tebe,N+,nleg,5.95,18.43,24.38,3.097478992
169,2B19,Phem,P+,nleg,3.62,8.04,11.66,2.220994475
172,2B22,Tear,NP+,nleg,35.7,36.73,72.43,1.028851541
173,2B23,Dala,P+,leg,1.91,6.72,8.63,3.518324607
176,2B26,Tebe,N+,nleg,3.73,19.45,23.18,5.214477212
178,2B28,Dala,N+,leg,13.74,28.03,41.77,2.040029112
179,2B29,Lasp,P+,nleg,13.04,15.93,28.97,1.221625767
180,2B30,Dala,NP+,leg,10.95,22.23,33.18,2.030136986
181,2B31,Tebe,NP+,nleg,10.93,26.16,37.09,2.393412626
182,2B32,Tear,N+,nleg,22.28,29,51.28,1.301615799
183,2B33,Saem,Con,nleg,8.73,6.1,14.83,0.698739977
185,2B35,Tear,P+,nleg,10.67,13.5,24.17,1.265229616
186,2B36,Tebe,N+,nleg,6.11,17.71,23.82,2.898527005
187,2B37,Acca,NP+,leg,12.62,35.08,47.7,2.779714739
189,2B39,Tear,N+,nleg,27.52,23.65,51.17,0.859375
191,2B41,Phem,Con,nleg,8.64,21.33,29.97,2.46875
193,2B43,Tebe,N+,nleg,4.9,20.14,25.04,4.110204082
194,2B44,Ziju,NP+,nleg,14.49,17.67,32.16,1.219461698
195,2B45,Acca,NP+,leg,9.1,33.49,42.59,3.68021978
198,2B48,Tear,P+,nleg,20.44,21.07,41.51,1.030821918
201,3A1,Lasp,N+,nleg,14.1,30.03,44.13,2.129787234
202,3A2,Alle,P+,leg,11.65,34.3,45.95,2.944206009
203,3A3,Acle,P+,leg,7.63,9.8,17.43,1.28440367
204,3A4,Lain,N+,nleg,11.4,24.48,35.88,2.147368421
206,3A6,Acfe,NP+,leg,5.6,10.35,15.95,1.848214286
207,3A7,Acfe,P+,leg,11.7,18.96,30.66,1.620512821
208,3A8,Lasp,Con,nleg,7.85,15.8,23.65,2.012738854
209,3A9,Tear,Con,nleg,25.55,40.36,65.91,1.57964775
210,3A10,Acfe,N+,leg,6.47,19.78,26.25,3.057187017
211,3A11,Lasp,N+,nleg,18.07,27.59,45.66,1.526840066
215,3A15,Saem,N+,nleg,17.01,13.06,30.07,0.767783657
216,3A16,Acle,N+,leg,9.28,12.18,21.46,1.3125
217,3A17,Phem,N+,nleg,6.77,13.49,20.26,1.992614476
218,3A18,Lasp,NP+,nleg,30.22,27.96,58.18,0.925215089
219,3A19,Ziju,P+,nleg,5.76,6.59,12.35,1.144097222
222,3A22,Tear,Con,nleg,20.7,20.4,41.1,0.985507246
223,3A23,Tear,N+,nleg,41.39,28.79,70.18,0.695578642
224,3A24,Lasp,P+,nleg,20.44,22.22,42.66,1.087084149
226,3A26,Acle,NP+,leg,19.38,20.91,40.29,1.078947368
228,3A28,Saem,N+,nleg,22.59,24.05,46.64,1.064630367
230,3A30,Lasp,Con,nleg,8.77,18.9,27.67,2.155074116
231,3A31,Lasp,P+,nleg,9.1,18.38,27.48,2.01978022
232,3A32,Ziju,NP+,nleg,16.05,18.41,34.46,1.147040498
233,3A33,Lasp,NP+,nleg,11.88,22.95,34.83,1.931818182
234,3A34,Acca,N+,leg,9.57,20.15,29.72,2.10553814
237,3A37,Phem,P+,nleg,6.33,17.62,23.95,2.7835703
241,3A41,Tear,NP+,nleg,17.79,15.21,33,0.854974705
243,3A43,Tebe,NP+,nleg,4.44,18.85,23.29,4.245495495
245,3A45,Lain,Con,nleg,7.34,11.71,19.05,1.595367847
248,3A48,Tebe,NP+,nleg,5.34,21.49,26.83,4.024344569
249,3A49,Lasp,P+,nleg,15.98,16.15,32.13,1.010638298
250,3A50,Saem,Con,nleg,2.73,2.4,5.13,0.879120879
253,3B3,Saem,N+,nleg,39.42,46.07,85.49,1.168696093
254,3B4,Lasp,P+,nleg,18.71,22.6,41.31,1.207910208
255,3B5,Acca,P+,leg,3.58,21.91,25.49,6.120111732
256,3B6,Acca,P+,leg,3.52,25.64,29.16,7.284090909
257,3B7,Lasp,N+,nleg,33.85,30.26,64.11,0.89394387
261,3B11,Dala,NP+,leg,7.18,17.13,24.31,2.385793872
262,3B12,Dala,Con,leg,6.15,18.73,24.88,3.045528455
263,3B13,Phem,N+,nleg,44.89,40.54,85.43,0.903096458
264,3B14,Alam,Con,leg,5.78,13.28,19.06,2.297577855
265,3B15,Lasp,N+,nleg,16.71,27.04,43.75,1.618192699
266,3B16,Lasp,Con,nleg,28.11,32.87,60.98,1.169334756
267,3B17,Alle,P+,leg,19.66,32.14,51.8,1.634791455
268,3B18,Tear,N+,nleg,18.03,23.32,41.35,1.293399889
269,3B19,Saem,N+,nleg,21,21.61,42.61,1.029047619
271,3B21,Acca,P+,leg,12.91,49.45,62.36,3.830364059
272,3B22,Lasp,Con,nleg,9.48,16.09,25.57,1.697257384
274,3B24,Tear,Con,nleg,27.35,23.89,51.24,0.873491773
276,3B26,Saem,NP+,nleg,36.35,21.82,58.17,0.600275103
277,3B27,Ziju,NP+,nleg,20.52,17.08,37.6,0.832358674
280,3B30,Acle,NP+,leg,2.52,4.45,6.97,1.765873016
281,3B31,Acfe,P+,leg,18.89,28.68,47.57,1.518263632
