Sample,treatment,OTU_1,OTU_2,OTU_3,OTU_4,OTU_466,OTU_7,OTU_5,OTU_6,OTU_138,OTU_9,OTU_15,OTU_21,OTU_12,OTU_8,OTU_29,OTU_316,OTU_14,OTU_23,OTU_28,OTU_11,OTU_10,OTU_20,OTU_116,OTU_18,OTU_17,OTU_262,OTU_31,OTU_13,OTU_30,OTU_16,OTU_19,OTU_293,OTU_25,OTU_27,OTU_26,OTU_42,OTU_43,OTU_22,OTU_495,OTU_24,OTU_34,OTU_334,OTU_603,OTU_37,OTU_32,OTU_41,OTU_36,OTU_33,OTU_47,OTU_35,OTU_49,OTU_38,OTU_53,OTU_48,OTU_54,OTU_40,OTU_39,OTU_668,OTU_46,OTU_64,OTU_56,OTU_44,OTU_57,OTU_45,OTU_51,OTU_58,OTU_59,OTU_63,OTU_60,OTU_74,OTU_341,OTU_69,OTU_52,OTU_172,OTU_71,OTU_62,OTU_67,OTU_50,OTU_333,OTU_114,OTU_65,OTU_84,OTU_55,OTU_75,OTU_73,OTU_85,OTU_66,OTU_61,OTU_70,OTU_92,OTU_77,OTU_103,OTU_86,OTU_80,OTU_81,OTU_68,OTU_78,OTU_99,OTU_91,OTU_112,OTU_90,OTU_89,OTU_97,OTU_420,OTU_76,OTU_117,OTU_100,OTU_79,OTU_106,OTU_83,OTU_101,OTU_105,OTU_110,OTU_88,OTU_93,OTU_82,OTU_617,OTU_115,OTU_270,OTU_109,OTU_236,OTU_102,OTU_108,OTU_148,OTU_136,OTU_754,OTU_130,OTU_122,OTU_164,OTU_119,OTU_134,OTU_125,OTU_133,OTU_123,OTU_120,OTU_128,OTU_132,OTU_192,OTU_135,OTU_129,OTU_179,OTU_643,OTU_139,OTU_159,OTU_168,OTU_147,OTU_197,OTU_140,OTU_131,OTU_366,OTU_300,OTU_150,OTU_158,OTU_161,OTU_155,OTU_173,OTU_445,OTU_204,OTU_194,OTU_137,OTU_198,OTU_464,OTU_200,OTU_181,OTU_205,OTU_268,OTU_193,OTU_242,OTU_177,OTU_237,OTU_232,OTU_287,OTU_259,OTU_249,OTU_308,OTU_255,OTU_286,OTU_310,OTU_167,OTU_398,OTU_319,OTU_459,OTU_165
C01,NS,82.12563964,6.861122728,30.76192793,17.99992397,5.527307841,0,0,65.3832374,0.436712566,12.50418571,3.975136672,3.122757929,6.803245158,8.726358929,0,0.441974163,21.33577658,7.184710954,13.49599678,0,0.770823987,0,0,4.630205522,0,0.991811069,24.50062729,0.236771873,3.167481505,0,2.012560923,0,0,0.678746037,0,0.423558573,1.112827804,0.71031562,0,0,0.883948327,0.049985173,0,0,0.292018644,1.410108045,0,0,0,0,0.220987082,0,0,0,0.092077951,0,0,0.047354375,0,0,0,0,0,0.836593952,0,0,0,0.097339548,0,1.370646066,0,0,0,0.536682913,0,0,0.852378744,0.115755138,0.078923958,2.607121405,0,5.382613919,0.094708749,0,0,0,0,0,0,4.011967853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662961245,0,0,0,0,0,0,0,0,0,0,0.126278332,0,0,0,0,0,0,0,0,0,0,0.105231944,0,0,0,0,0.044723576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047354375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C02,LS,217.1932447,1.026012066,70.77292484,89.97870231,5.378347949,0,14.2144661,42.72007536,0,21.26145289,19.1948236,2.778630543,20.3048153,14.37512279,0,0.098584789,34.46816337,25.04053648,85.26488887,0,0.423549465,0,1.486074416,10.51205957,11.20945567,7.499746563,15.82833561,1.413048646,0.565949716,7.185735753,0,0.204472156,2.117747325,7.777244488,1.069827528,0.251938906,1.891367439,5.224993832,0.200820867,11.10721959,3.088990064,0,0,31.97433333,0,0,0,0,0,0,0.67913966,0,0,0,0.233682463,0,0,0,1.274299684,10.24186422,0.569601005,0,0.909170835,0.712001256,0,0,0,0,0,0,0,0,1.464166685,0,0.642626775,0,0.690093525,0,0.105887366,2.103142171,0,0,0,0,0,0,0.131446386,0,0,0,3.979904456,0,0,0,0,1.007755624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.457317155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.091735259,0,0,0,0,0,0,0,0,0,0,0,0.083979635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C03,L,42.44696668,1.564782246,45.97222323,1.043188164,1.942488305,6.852667078,5.063059796,18.76839395,0.476629075,3.075606484,19.11912101,4.70333974,22.9141676,9.082931428,2.311201363,0.278783044,12.48228596,3.938934619,3.678137578,0,0.530587083,0,5.009101788,0,0,0,0,0,1.447873228,3.165536498,8.687239366,0,1.474852232,0,0,0.233818037,0.647496102,0,0,0,0,1.088153171,0,0,0,0.82735613,0.962251151,0,0,0,0.071944011,11.4301048,0,0,0.044965007,0,0,0,0,0,0,0,0.575552091,0,0,0,0,0,0,0.314755049,0,0,0,0,0,4.613409725,0,0.503608079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359720057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269790042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04,NS,59.67564391,16.47243169,37.44354128,24.83361081,3.419449613,0.4998531,2.419743414,8.395260014,1.397316619,7.372833219,1.101948879,3.658015865,0,2.544706689,3.021839193,0.090882382,7.759083341,5.316619332,3.226324552,0,1.635882871,0,0,4.066986583,0,0.443051611,0,1.170110665,3.748898247,3.044559788,6.566252081,0,0,0.4998531,3.38536872,0.193125061,0,2.397022819,1.863088826,0,1.749485849,0.068161786,2.101655078,0,0.477132504,0,0.976985604,0,0,0,0.340808932,0,0,0,0,0,0,0,0,0,0.261286848,0,0,0.954265008,0,0,0,1.022426795,0,0.602095779,0.090882382,0.4998531,0.568014886,0.181764763,0.817941436,0,0,0,0,0,0,0,0,0,0,0.374889825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034080893,0,0,0,0,0,0,0,0,0.533933993,0,0,0,0,0,0,0,0,0.863382627,0,0,0,0,0,0,0,0,0,0,0,0.045441191,0.261286848,0,0,0,0,0,0,0,0,0,0,1.317794535,0,0,0,0,0,0,0.079522084,0,0,0.056801489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C05,C,20.16549499,8.784602973,23.1711421,1.205946756,1.714878414,0.06269448,33.93246514,32.82609197,0.619568975,0,0.722830471,0.018439553,0,1.382966463,0,0.468364642,0,1.821827821,0,0,0.247090008,0.744957935,0,2.714302178,0,0,5.152011064,0.999423764,0,2.441396796,0,4.270600438,0,0,0.025815374,1.843955284,0,0,1.917713495,3.256425032,0,0,0,2.061542008,0,0.372478967,0.140140602,0,4.986055088,0.022127463,0.346663593,0,0,0,0,0,0,0,0.38723061,0,0,0,0,0,0,0,0,0,0,0,0,0.38723061,0,0.110637317,0,0,0.180707618,0,0,0,0,0,0,0,0,0,0,0.051630748,0,0,0,0,0,0,0,0.398294341,0,0,0,0.025815374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C06,N,16.19152798,7.396686875,28.57759586,2.97671545,2.294551492,7.396686875,22.16750975,0,0.186044716,0.112754373,6.16202649,0.732903425,0,3.737807468,0.439742055,0.067652624,0,1.544734911,0.338263119,0,1.336139321,1.46580685,2.801946171,4.222651272,0,0,13.11333359,1.505270881,0.078928061,1.826620844,0,0.389002587,0,0,0,0,0.090203498,0.575047303,1.702591034,0,0,0.039464031,0,0,0.868208673,0,0,0,0,0,0.749816581,8.00556049,0,0,0,0,0,0,0,0,0.174769278,0,0.180406997,0,0,0,0,0,0,0.603235896,0.056377187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41719118,0,0,0,0,0,0,0.016913156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.378383597,0,0,0,0,0,0.033826312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C07,LN,20.12196907,3.164660929,38.84244545,2.757775953,2.249169732,0,0,48.32135843,0.813769953,0,33.71870871,0.271256651,1.390190337,16.24149198,2.60331036,0.293861372,4.189408278,4.577455987,3.447219941,1.86865693,0,1.397725244,3.590383173,0.900421383,0,0,4.957968789,0.56135057,0,1.30730636,2.882101918,0,2.825590115,0,0,0,0.8100025,0,0,0,0,3.085544406,0,0,0,0,0,0,0,0,0.045209442,0,0,0,0,2.652287255,0.256186837,0.312698639,0,0,0,0,0,0,0,0,0,0.226047209,0,0,0.022604721,0,0.037674535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135628326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033907081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08,L,47.67792886,5.62864438,41.10848524,0.173623894,2.588207351,0.468380737,17.71771272,7.086277537,3.319042812,0.944837005,21.77162876,0.444154148,2.959681729,10.86158779,0,0.08883083,0.052490945,7.40526097,3.68244166,5.883023573,0,0,0,3.654177305,4.724185025,0,1.352651268,0,0,3.359420462,0.637966867,0,0.03230212,0,0,1.441482097,0.07267977,0,0,0,0,0.02422659,0,1.320349148,0,0,0,0,0,0,0.488569562,0,5.584228965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807553,0,0,0.04037765,0,0,0,0.339172258,0,0,0,0,0.197850484,0,0,0,0,0,0,0,0.060566475,0,0,0,0,0.318983433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318983433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C09,S,31.23177464,2.125701883,37.39229934,3.613693201,1.893077903,0.104279715,0.020053791,17.05374416,0.92648516,6.79021375,5.217996508,1.419808427,0,4.953286463,2.522766951,0.128344265,11.10980041,5.310243948,6.296890483,0,3.393101496,0.617656773,1.0668617,3.232671165,0,0,0,1.25135658,5.025480111,4.508092295,0,6.69796631,0,0,0.076204407,0.032086066,0.124333506,0,0.096258198,0,0.188505639,0.02406455,0,0,0,0,0,0,0,1.147076865,0,0,0,0,0.020053791,0,0.252677771,0,0,0,0.100268957,0,0.581559949,0,0,0,0,0,0,0,0,0,0.108290473,0,0,0,0.068182891,0,0.060161374,1.925163969,0,0,0,0,0,0,0,0,0,0,0,0,0.028075308,0,0,0,0,0,0,0,0.850280753,0,0,0,0,0,0,0,0,0.280753079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,LNS,74.25286061,14.2708617,48.62702512,42.97554199,4.646004539,3.470634734,6.386522658,51.88616264,0,30.1782265,0,2.042161697,36.51620881,9.957705252,0.585951319,0.090146357,21.20866401,4.455310323,4.385966972,0,0,0,0.052007514,9.583251154,8.491093371,7.617367144,0,0.741973859,1.057486108,1.04015027,21.31267903,0,8.123573609,0.65529467,0.058941849,6.646560225,2.711325037,3.054574626,0.39872427,0,5.065531815,0.069343351,0,0,0.162956876,0,0,0,0,2.631580183,0.759309697,0,0,0,0.159489708,0.343249589,0,0,0.707302184,0,0.37098693,0,0,0,0,0,0,0,0,0,0,0,0.273906238,0,0,0,0.135219535,0,0,0.364052595,0,0.891062065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631024497,0,0,0,0,0,0,0,0,0.741973859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005478594,0,0.2565704,0,0,0.703835016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
