Microcosm,Habitat,Treatment_code,Nutrients,Sediment,Insecticide,Acari,Agraylea,Ameletus,Baetidae,Bezzia,Calineuria,Capnia,Centroptilum,Chironomidae,Chironominae,Cinygmula,Collembola,Dicranota,Ecclisomyia,Elmidae,Empididae,Epeorus,Hesperoperla,Heterlimnius,Hydropsyche,Kathroperla,Lara,Micrasema,Narpus,Nematoda,Orthocladiinae,Paraleptophlebia,Perlidae,Perlomyia,Plecoptera,Podonominae,Pteronarcys,Rhithrogena,Rhyacophila,Serratella,Tanypodinae,Tipula,Tipulidae,Zaitzevia
1,gravel,Control,0,0,0,0,4,2,0,1,2,0,1,3,14,0,0,2,11,1,0,0,0,12,0,3,2,0,0,0,40,1,0,0,0,1,0,0,11,3,1,1,3,0
2,gravel,S,0,1,0,2,4,0,0,0,1,7,0,0,117,0,0,1,3,0,0,2,0,14,0,3,1,0,0,0,9,0,0,0,0,0,0,0,4,4,1,0,1,0
3,gravel,Control,0,0,0,0,0,0,1,2,1,2,0,1,20,1,0,2,8,0,0,0,0,17,0,2,1,0,0,0,16,1,0,0,0,0,1,0,4,1,0,0,0,0
4,gravel,N,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,3,0,0,0,0,12,0,4,0,0,0,0,37,0,1,0,0,0,0,0,6,2,0,0,0,2
5,gravel,N*S,1,1,0,1,1,0,0,1,5,0,0,0,27,0,0,0,13,0,1,0,0,17,0,4,0,0,0,0,17,3,0,0,0,0,0,0,12,7,0,0,0,0
6,gravel,S,0,1,0,0,4,0,1,7,1,4,0,1,12,2,0,0,4,0,0,3,0,14,1,4,0,0,0,0,6,8,0,0,0,0,1,0,4,4,2,1,0,0
7,gravel,N*I,1,0,1,2,5,3,0,1,2,7,0,0,56,0,0,1,9,0,0,0,0,12,0,4,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,1,0,0
8,gravel,N*S,1,1,0,1,1,2,0,1,1,1,1,0,17,0,0,2,1,1,0,0,0,7,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1
9,gravel,Control,0,0,0,1,1,2,0,1,6,10,3,0,16,5,0,1,10,0,0,2,0,2,0,11,1,2,0,0,24,12,0,1,1,0,1,0,4,18,1,1,0,0
10,gravel,S*I,0,1,1,2,1,1,0,0,1,0,0,0,16,0,0,0,4,0,0,2,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
