Habitat,Phase,Date,Channel,Treatment,Taxon,Abundance
RIF,low-flow,31/08/2015,1,lf.np,Asellus.aquaticus,1
RIF,low-flow,31/08/2015,1,lf.np,Baetis.rhodani,5
RIF,low-flow,31/08/2015,1,lf.np,Dugesia.gonocephala,1
RIF,low-flow,31/08/2015,1,lf.np,Gammarus.pulex,49
RIF,low-flow,31/08/2015,1,lf.np,Leuctra.fusca.digitata,13
RIF,low-flow,31/08/2015,1,lf.np,Leuctra.hippopus,20
RIF,low-flow,31/08/2015,1,lf.np,Nemoura.sp,1
RIF,low-flow,31/08/2015,1,lf.np,Orthocladiinae.indet,1
RUN,low-flow,31/08/2015,1,lf.np,Baetis.rhodani,13
RUN,low-flow,31/08/2015,1,lf.np,Chironomini.indet,9
RUN,low-flow,31/08/2015,1,lf.np,Dicranota.sp,10
RUN,low-flow,31/08/2015,1,lf.np,Gammarus.pulex,246
RUN,low-flow,31/08/2015,1,lf.np,Leuctra.fusca.digitata,1
RUN,low-flow,31/08/2015,1,lf.np,Leuctra.hippopus,17
RUN,low-flow,31/08/2015,1,lf.np,Nemoura.sp,7
RUN,low-flow,31/08/2015,1,lf.np,Oligochaeta.indet,15
RUN,low-flow,31/08/2015,1,lf.np,Orthocladiinae.indet,6
RUN,low-flow,31/08/2015,1,lf.np,Pisidium.sp,1
RUN,low-flow,31/08/2015,1,lf.np,Silo.pallipes,1
RUN,low-flow,31/08/2015,1,lf.np,Tanypodinae.indet,3
RIF,low-flow,31/08/2015,2,lf.fs,Asellus.aquaticus,4
RIF,low-flow,31/08/2015,2,lf.fs,Baetis.rhodani,33
RIF,low-flow,31/08/2015,2,lf.fs,Gammarus.pulex,82
RIF,low-flow,31/08/2015,2,lf.fs,Leuctra.fusca.digitata,25
RIF,low-flow,31/08/2015,2,lf.fs,Leuctra.hippopus,46
RIF,low-flow,31/08/2015,2,lf.fs,Nemoura.sp,16
RIF,low-flow,31/08/2015,2,lf.fs,Oligochaeta.indet,1
RIF,low-flow,31/08/2015,2,lf.fs,Orthocladiinae.indet,2
RUN,low-flow,31/08/2015,2,lf.fs,Baetis.rhodani,2
RUN,low-flow,31/08/2015,2,lf.fs,Bezzia.sp,1
RUN,low-flow,31/08/2015,2,lf.fs,Chironomini.indet,2
RUN,low-flow,31/08/2015,2,lf.fs,Dicranota.sp,3
RUN,low-flow,31/08/2015,2,lf.fs,Eloeophila.sp,1
RUN,low-flow,31/08/2015,2,lf.fs,Gammarus.pulex,156
RUN,low-flow,31/08/2015,2,lf.fs,Leuctra.fusca.digitata,11
RUN,low-flow,31/08/2015,2,lf.fs,Nemoura.sp,2
RUN,low-flow,31/08/2015,2,lf.fs,Oreodytes.sanmarkii,1
RUN,low-flow,31/08/2015,2,lf.fs,Orthocladiinae.indet,4
RUN,low-flow,31/08/2015,2,lf.fs,Tanypodinae.indet,6
RIF,low-flow,31/08/2015,3,lf.np.fs,Ancylus.fluviatilis,1
RIF,low-flow,31/08/2015,3,lf.np.fs,Baetis.rhodani,32
RIF,low-flow,31/08/2015,3,lf.np.fs,Chironomini.indet,3
