Time ,Month ,Plot,Diversity ,Nutrients,Sediment,Treatment ,Fuc_Ves,Fuc_Ser,Cho_Cri,Osm_sp,Cla_Rup,Rhizo_rip,Porphyra,Ulva_Lac,Ulva_Int,Dic_Dic,Ecto,Cerem,Poly_Fuc,Dum_cort,Lom_Art,Pal_Pal,Gel_cri,cor_ofi,clad_sp ,conp_tho,clad_spong,Byopsis_sp,chylo_vert,Cha_Lin,Gre_Fil,Lam_Juv,Cer_Ech,Cer_Spiky ,Leath_Dif ,Fuc_Juv,Bro_Flu,Mas_Stel,Osm_Hyb,Lith,Hilden
0,August'15,1,B,N0,S0,B_N0_S0,4.6875,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.875,1.5625
0,August'15,2,C,N0,S0,C_N0_S0,7.8125,0,1,7.8125,0,1.5625,0,1,1.5625,0,4.6875,0,0,0,0,0,0,0,1.5625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.75,1
0,August'15,3,C,N0,S0,C_N0_S0,23.4375,0,3.125,42.1875,0,23.4375,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,7.8125,1
0,August'15,4,B,N0,S0,B_N0_S0,21.875,0,12.5,12.5,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,1.5625,0,9.375,0,0,0,0,0,0,0,0,0,26.5625,0
0,August'15,5,B,N1,S0,B_N1_S0,32.8125,0,4.6875,21.875,1.5625,4.6875,0,0,1.5625,0,4.6875,0,0,0,0,0,0,0,0,0,3.125,0,0,4.6875,0,0,0,0,0,0,0,0,1,26.5625,1
0,August'15,6,A,N0,S0,A_N0_S0,4.6875,0,0,15.625,0,9.375,0,1.5625,0,0,3.125,0,0,0,1.5625,3.125,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0,0,0,7.8125,0
0,August'15,7,A,N0,S0,A_N0_S0,42.1875,0,7.8125,0,4.6875,4.6875,0,0,4.6875,0,4.6875,3.125,0,6.25,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,7.8125,1.5625
0,August'15,8,C,N1,S0,C_N1_S0,12.5,0,6.25,7.8125,0,4.6875,0,0,7.8125,0,0,0,0,1.5625,0,0,0,0,0,0,0,6.25,0,3.125,0,0,0,0,0,0,0,0,1,9.375,1.5625
0,August'15,9,D,N1,S1,D_N1_S1,0,0,68.75,0,0,20.3125,0,0,0,3.125,0,0,0,1.5625,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0
0,August'15,10,C,N1,S1,C_N1_S1,10.9375,0,3.125,29.6875,0,12.5,0,0,1.5625,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0
0,August'15,11,B,N1,S1,B_N1_S1,3.125,0,15.625,31.25,1,17.1875,0,0,1.5625,1.5625,0,4.6875,0,0,0,0,1.5625,0,0,1,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,18.75,0
0,August'15,14,A,N1,S0,A_N1_S0,0,6.25,10.9375,15.625,0,10.9375,0,0,1.5625,0,0,0,0,0,0,0,1.5625,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8125,0
0,August'15,15,C,N0,S0,C_N0_S0,31.25,78.125,31.25,20.3125,0,1.5625,0,0,0,4.6875,4.6875,3.125,0,3.125,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,7.8125,0
0,August'15,16,A,N0,S1,A_N0_S1,31.25,0,17.1875,45.3125,0,14.0625,0,0,1,0,3.125,0,0,0,0,1,0,0,0,1.5625,0,0,0,3.125,0,0,0,0,0,0,0,0,0,18.75,1.5625
