Factor,Time ,Month ,Plot,Diversity ,Nutrients,Sediment,Treatment ,Cyano,Green Algae,Diatoms
0.A_N0_S0_1,0,August'15,6,A,N0,S0,A_N0_S0,0.105,0,0.105
0.A_N0_S0_2,0,August'15,7,A,N0,S0,A_N0_S0,0.13,0.015,0.165
0.A_N0_S0_3,0,August'15,32,A,N0,S0,A_N0_S0,0.16,0,0.19
0.A_N0_S0_4,0,August'15,50,A,N0,S0,A_N0_S0,0.21,0.003333333,0.23
0.A_N0_S0_5,0,August'15,53,A,N0,S0,A_N0_S0,0.02,0.023333333,0.016666667
0.A_N0_S1_1,0,August'15,16,A,N0,S1,A_N0_S1,0.113333333,0,0.09
0.A_N0_S1_2,0,August'15,19,A,N0,S1,A_N0_S1,0.105,0,0.135
0.A_N0_S1_3,0,August'15,20,A,N0,S1,A_N0_S1,0.05,0,0.083333333
0.A_N0_S1_4,0,August'15,36,A,N0,S1,A_N0_S1,0.093333333,0,0.06
0.A_N0_S1_5,0,August'15,40,A,N0,S1,A_N0_S1,0.036666667,0.413333333,0.01
0.A_N1_S0_1,0,August'15,14,A,N1,S0,A_N1_S0,0.42,0,0.315
0.A_N1_S0_2,0,August'15,23,A,N1,S0,A_N1_S0,0.13,0,0.12
0.A_N1_S0_3,0,August'15,69,A,N1,S0,A_N1_S0,0.203333333,0,0.363333333
0.A_N1_S0_4,0,August'15,I,A,N1,S0,A_N1_S0,0.363333333,0,0.27
0.A_N1_S0_5,0,August'15,K,A,N1,S0,A_N1_S0,0.26,0,0.27
0.A_N1_S1_1,0,August'15,30,A,N1,S1,A_N1_S1,0.12,0,0.273333333
0.A_N1_S1_2,0,August'15,47,A,N1,S1,A_N1_S1,0.083333333,0,0.083333333
0.A_N1_S1_3,0,August'15,B,A,N1,S1,A_N1_S1,0.413333333,0,0.286666667
0.A_N1_S1_4,0,August'15,F,A,N1,S1,A_N1_S1,0.26,0.096666667,0.396666667
0.A_N1_S1_5,0,August'15,N,A,N1,S1,A_N1_S1,0.113333333,0,0.09
0.B_N0_S0_1,0,August'15,1,B,N0,S0,B_N0_S0,0.053333333,0,0.056666667
0.B_N0_S0_2,0,August'15,4,B,N0,S0,B_N0_S0,0.116666667,0,0.083333333
0.B_N0_S0_3,0,August'15,31,B,N0,S0,B_N0_S0,0.363333333,0.113333333,0.473333333
0.B_N0_S0_4,0,August'15,34,B,N0,S0,B_N0_S0,0.15,0.01,0.166666667
0.B_N0_S0_5,0,August'15,E,B,N0,S0,B_N0_S0,0.203333333,0,0.213333333
0.B_N0_S1_1,0,August'15,17,B,N0,S1,B_N0_S1,0.27,0.035,0.43
0.B_N0_S1_2,0,August'15,18,B,N0,S1,B_N0_S1,0.35,0,0.185
0.B_N0_S1_3,0,August'15,49,B,N0,S1,B_N0_S1,0.086666667,0,0.06
0.B_N0_S1_4,0,August'15,65,B,N0,S1,B_N0_S1,0.156666667,0,0.143333333
0.B_N0_S1_5,0,August'15,H,B,N0,S1,B_N0_S1,0.136666667,0,0.296666667
0.B_N1_S0_1,0,August'15,5,B,N1,S0,B_N1_S0,0.12,0,0.136666667
0.B_N1_S0_2,0,August'15,24,B,N1,S0,B_N1_S0,0.05,0.08,0.11
0.B_N1_S0_3,0,August'15,44,B,N1,S0,B_N1_S0,0.106666667,0,0.063333333
0.B_N1_S0_4,0,August'15,67,B,N1,S0,B_N1_S0,0.106666667,0,0.183333333
0.B_N1_S0_5,0,August'15,J,B,N1,S0,B_N1_S0,0.093333333,0,0.146666667
0.B_N1_S1_1,0,August'15,11,B,N1,S1,B_N1_S1,0.39,0,0.17
0.B_N1_S1_2,0,August'15,25,B,N1,S1,B_N1_S1,0.105,0,0.245
0.B_N1_S1_3,0,August'15,45,B,N1,S1,B_N1_S1,0.086666667,0.003333333,0.08
0.B_N1_S1_4,0,August'15,C,B,N1,S1,B_N1_S1,0.236666667,0,0.166666667
0.B_N1_S1_5,0,August'15,M,B,N1,S1,B_N1_S1,0.04,0,0.056666667
0.C_N0_S0_1,0,August'15,2,C,N0,S0,C_N0_S0,0.12,0,0.06
0.C_N0_S0_2,0,August'15,3,C,N0,S0,C_N0_S0,0.07,0,0.056666667
0.C_N0_S0_3,0,August'15,15,C,N0,S0,C_N0_S0,0.01,0.04,0.01
0.C_N0_S0_4,0,August'15,33,C,N0,S0,C_N0_S0,0.153333333,0.003333333,0.11
0.C_N0_S0_5,0,August'15,59,C,N0,S0,C_N0_S0,0.086666667,0.133333333,0.143333333
