filename,variable,group_id,mean,se,sd,n,error_type,plot_type
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S0_I0,2.848,0.476,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S0_I0,0.285,0.034,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S0_I0,0.328,0.102,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S0_I0,57.5,24.36,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S0_I0,48.75,10.05,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S0_I0,79.75,11.82,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S0_I0,10.34,2.507,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S0_I0,0.714,0.179,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S0_I0,0.483,0.068,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S0_I0,38,16.68,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S0_I0,108.75,21.31,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S0_I0,87.25,12.95,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S1_I0,4.297,0.852,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S1_I0,0.228,0.024,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S1_I0,0.365,0.108,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S1_I0,9.5,3.175,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S1_I0,117.75,43.79,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S1_I0,57,6.494,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S0_I1,3.622,0.955,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S0_I1,0.299,0.034,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S0_I1,0.246,0.043,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S0_I1,35.25,11.12,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S0_I1,58,10.99,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S0_I1,72.25,12.49,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S1_I0,14.06,3.741,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S1_I0,0.466,0.105,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S1_I0,0.549,0.119,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S1_I0,29.25,15.65,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S1_I0,52,9.478,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S1_I0,51,8.436,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S0_I1,8.425,1.452,na,4,se,table
